,Unnamed: 0_x,Name,Team_x,xG,xA,xG90,xA90,Unnamed: 0_y,index,Nationality,Apps,Starts,Subs,Minutes,Min / app,Goals_x,Assists_x,PK,PKAtt,Fouls,Yellows,Reds,SOT,Goals PG,Goals+Asst PG,Goals no PK PG,Goals+Asst no PK PG,SOT PG,Fouls PG,Cards PG,Goals+Assists,Height,Pass Accuracy,Aerials won,MOTMs,Rating,Team_y,Position,Age,Image
0,1,Sadio Mané,Liverpool,16.76,5.12,0.49,0.15,4,4,sn,36,35,1,"3,086",86,22,1,0,0,35,2,0,42,0.64,0.67,0.64,0.67,1.22,1.02,1.02,23,175,78.2,1.0,6,7.43,Liverpool,"FW,MF",26.0,img/lfc/mane.png
1,2,Mohamed Salah,Liverpool,21.79,10.47,0.6,0.29,2,2,eg,38,37,1,"3,262",86,22,8,3,3,25,1,0,64,0.61,0.83,0.52,0.74,1.77,0.69,0.69,30,175,75.9,0.3,8,7.57,Liverpool,"MF,FW",26.0,img/lfc/salah.png
2,17,Roberto Firmino,Liverpool,13.74,6.34,0.47,0.22,6,6,br,34,31,3,"2,620",77,12,6,1,1,40,0,0,35,0.41,0.62,0.38,0.58,1.2,1.37,1.37,18,181,80.8,0.9,4,7.2,Liverpool,"FW,MF",26.0,img/lfc/firmino.png
6,92,Divock Origi,Liverpool,2.24,0.19,0.57,0.05,18,18,be,12,4,8,366,31,3,1,0,0,2,0,0,6,0.74,0.98,0.74,0.98,1.48,0.49,0.49,4,185,70.4,0.3,0,6.57,Liverpool,"FW,MF",23.0,img/lfc/origi.png
8,129,Daniel Sturridge,Liverpool,1.50,1.07,0.28,0.2,16,16,ke,18,4,14,496,28,2,1,0,0,5,1,0,6,0.36,0.54,0.36,0.54,1.09,0.91,0.91,3,188,80.0,0.2,0,6.41,Liverpool,"FW,MF",28.0,img/lfc/sturridge.png
15,277,Adam Lallana,Liverpool,0.30,0.54,0.06,0.11,17,17,es,13,5,8,465,36,0,0,0,0,4,1,0,3,0.0,0.0,0.0,0.0,0.58,0.77,0.77,0,172,82.1,0.7,0,6.53,Liverpool,"FW,MF",30.0,img/lfc/lallana.png
21,6,Harry Kane,Tottenham,16.12,4.56,0.6,0.17,26,3,eng,28,27,1,"2,427",87,17,4,4,4,31,5,0,46,0.63,0.78,0.48,0.63,1.71,1.15,1.15,21,188,73.1,1.8,6,7.38,Tottenham Hotspur,FW,25.0,img/thfc/kane.png
22,15,Son Heung-min,Tottenham,8.36,3.97,0.37,0.17,30,7,us,31,23,8,"2,047",66,12,6,0,0,11,2,1,29,0.53,0.79,0.53,0.79,1.28,0.48,0.48,18,183,85.6,0.1,4,7.1,Tottenham Hotspur,"MF,FW",26.0,img/thfc/son.png
23,30,Lucas Moura,Tottenham,7.59,1.66,0.32,0.07,29,6,br,32,25,7,"2,128",67,10,0,0,0,25,3,0,20,0.42,0.42,0.42,0.42,0.85,1.06,1.06,10,172,76.1,1.1,3,6.96,Tottenham Hotspur,"FW,MF",25.0,img/thfc/moura.png
26,78,Érik Lamela,Tottenham,3.76,2.17,0.35,0.2,38,15,be,19,9,10,972,51,4,2,0,0,23,2,0,11,0.37,0.56,0.37,0.56,1.02,2.13,2.13,6,181,83.2,0.2,1,6.77,Tottenham Hotspur,"MF,FW",26.0,img/thfc/lamela.png
32,217,Fernando Llorente,Tottenham,3.50,2.01,0.47,0.27,40,17,eng,20,6,14,683,34,1,4,0,0,12,2,0,5,0.13,0.66,0.13,0.66,0.66,1.58,1.58,5,193,66.4,2.7,0,6.49,Tottenham Hotspur,FW,33.0,/img/thfc/llorente.png
44,385,Vincent Janssen,Tottenham,0.31,0.00,0.81,0.0,48,25,eng,3,0,3,36,12,0,0,0,0,2,0,0,1,0.0,0.0,0.0,0.0,2.5,5.0,5.0,0,180,77.8,1.0,0,6.3,Tottenham Hotspur,FW,24.0,img/thfc/janssen.png
