,Unnamed: 0_x,Name,Team_x,xG,xA,xG90,xA90,Unnamed: 0_y,index,Nationality,Apps,Starts,Subs,Minutes,Min / app,Goals_x,Assists_x,PK,PKAtt,Fouls,Yellows,Reds,SOT,Goals PG,Goals+Asst PG,Goals no PK PG,Goals+Asst no PK PG,SOT PG,Fouls PG,Cards PG,Goals+Assists,Height,Pass Accuracy,Aerials won,MOTMs,Rating,Team_y,Position,Age,Image
5,82,Virgil van Dijk,Liverpool,3.51,1.27,0.09,0.03,1,1,nl,38,38,0,"3,385",89,4,2,0,0,12,1,0,10,0.11,0.16,0.11,0.16,0.27,0.32,0.32,6,193,89.7,4.8,4,7.44,Liverpool,DF,27.0,img/lfc/vvd.png
10,164,Joël Matip,Liverpool,0.90,0.18,0.05,0.01,11,11,es,22,17,5,"1,532",70,1,0,0,0,12,3,0,2,0.06,0.06,0.06,0.06,0.12,0.7,0.7,1,195,86.9,3.0,2,7.11,Liverpool,"DF,MF",26.0,img/lfc/matip.png
11,182,Dejan Lovren,Liverpool,0.91,0.11,0.08,0.01,15,15,it,13,11,2,985,76,1,0,0,0,3,1,0,1,0.09,0.09,0.09,0.09,0.09,0.27,0.27,1,188,86.6,4.1,1,7.08,Liverpool,DF,29.0,img/lfc/lovren.png
13,221,Trent Alexander-Arnold,Liverpool,1.49,7.22,0.05,0.26,7,7,eng,29,27,2,"2,467",85,1,12,0,0,14,3,0,9,0.04,0.47,0.04,0.47,0.33,0.51,0.51,13,175,77.5,0.3,1,7.36,Liverpool,"DF,MF",19.0,img/lfc/taa.png
17,361,Joe Gomez,Liverpool,0.23,0.42,0.02,0.04,13,13,be,16,12,4,"1,060",66,0,0,0,0,12,2,0,1,0.0,0.0,0.0,0.0,0.08,1.02,1.02,0,188,87.5,1.5,0,6.76,Liverpool,DF,21.0,img/lfc/gomez.png
19,380,Andrew Robertson,Liverpool,0.86,8.06,0.02,0.22,3,3,sco,36,36,0,"3,219",89,0,11,0,0,20,4,0,5,0.0,0.31,0.0,0.31,0.14,0.56,0.56,11,178,83.2,0.7,1,7.12,Liverpool,DF,24.0,img/lfc/robertson.png
28,190,Jan Vertonghen,Tottenham,1.01,0.24,0.05,0.01,32,9,jm,22,22,0,"1,913",87,1,0,0,0,11,4,0,2,0.05,0.05,0.05,0.05,0.09,0.52,0.52,1,189,87.5,2.3,1,6.89,Tottenham Hotspur,DF,31.0,img/thfc/vertonghen.png
29,191,Kieran Trippier,Tottenham,0.46,4.85,0.02,0.19,28,5,eng,27,26,1,"2,278",84,1,3,0,0,20,2,0,3,0.04,0.16,0.04,0.16,0.12,0.79,0.79,4,178,78.9,1.1,1,7.1,Tottenham Hotspur,DF,27.0,img/thfc/trippier.png
33,247,Davinson Sánchez,Tottenham,1.62,0.62,0.08,0.03,31,8,ie,23,22,1,"1,943",85,1,1,0,0,20,2,0,3,0.05,0.09,0.05,0.09,0.14,0.93,0.93,2,187,89.9,2.9,0,6.83,Tottenham Hotspur,DF,22.0,img/thfc/sanchez.png
34,248,Juan Foyth,Tottenham,0.70,0.79,0.07,0.08,39,16,co,12,10,2,888,74,1,0,0,0,16,3,1,1,0.1,0.1,0.1,0.1,0.1,1.62,1.62,1,179,85.2,2.1,1,6.93,Tottenham Hotspur,DF,20.0,img/thfc/foyth.png
36,317,Toby Alderweireld,Tottenham,0.99,0.49,0.03,0.02,24,1,be,34,33,1,"2,923",86,0,0,0,0,10,3,0,5,0.0,0.0,0.0,0.0,0.15,0.31,0.31,0,187,88.5,1.6,0,6.84,Tottenham Hotspur,DF,29.0,img/thfc/toby.png
37,318,Danny Rose,Tottenham,0.80,2.59,0.04,0.13,35,12,cm,26,20,6,"1,798",69,0,3,0,0,26,5,0,2,0.0,0.15,0.0,0.15,0.1,1.3,1.3,3,173,73.7,1.0,1,6.84,Tottenham Hotspur,"MF,DF",28.0,img/thfc/rose.png
40,321,Ben Davies,Tottenham,0.57,2.25,0.03,0.11,33,10,ch,27,20,7,"1,839",68,0,0,0,0,18,2,0,1,0.0,0.0,0.0,0.0,0.05,0.88,0.88,0,181,82.8,1.7,1,6.69,Tottenham Hotspur,DF,25.0,img/thfc/davies.png
42,354,Kyle Walker-Peters,Tottenham,0.35,0.48,0.08,0.12,44,21,eng,6,4,2,374,62,0,3,0,0,4,1,0,0,0.0,0.72,0.0,0.72,0.0,0.96,0.96,3,173,83.0,0.5,0,6.95,Tottenham Hotspur,DF,21.0,img/thfc/walkers-peters.png
45,408,Serge Aurier,Tottenham,0.14,1.26,0.02,0.2,41,18,cz,8,6,2,563,70,0,2,0,0,17,1,0,1,0.0,0.32,0.0,0.32,0.16,2.72,2.72,2,176,75.5,1.5,0,6.85,Tottenham Hotspur,DF,25.0,/img/thfc/aurier.png
