,index,Name,Nationality,Apps,Starts,Subs,Minutes,Min / app,Goals_x,Assists_x,PK,PKAtt,Fouls,Yellows,Reds,SOT,Goals PG,Goals+Asst PG,Goals no PK PG,Goals+Asst no PK PG,SOT PG,Fouls PG,Cards PG,Goals+Assists,Height,Pass Accuracy,Aerials won,MOTMs,Rating,Team,Position,Age
0,0,Alisson,br,38,38,0,"3,420",90,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,191,80.3,0.3,0,6.79,Liverpool,GK,25.0
1,1,Virgil van Dijk,nl,38,38,0,"3,385",89,4,2,0,0,12,1,0,10,0.11,0.16,0.11,0.16,0.27,0.32,0.32,6,193,89.7,4.8,4,7.44,Liverpool,DF,27.0
2,2,Mohamed Salah,eg,38,37,1,"3,262",86,22,8,3,3,25,1,0,64,0.61,0.83,0.52,0.74,1.77,0.69,0.69,30,175,75.9,0.3,8,7.57,Liverpool,"MF,FW",26.0
3,3,Andrew Robertson,sco,36,36,0,"3,219",89,0,11,0,0,20,4,0,5,0.0,0.31,0.0,0.31,0.14,0.56,0.56,11,178,83.2,0.7,1,7.12,Liverpool,DF,24.0
4,4,Sadio Mané,sn,36,35,1,"3,086",86,22,1,0,0,35,2,0,42,0.64,0.67,0.64,0.67,1.22,1.02,1.02,23,175,78.2,1,6,7.43,Liverpool,"FW,MF",26.0
5,5,Georginio Wijnaldum,nl,35,32,3,"2,736",78,3,0,0,0,19,3,0,10,0.1,0.1,0.1,0.1,0.33,0.62,0.62,3,175,91.1,0.9,1,6.89,Liverpool,MF,27.0
6,6,Roberto Firmino,br,34,31,3,"2,620",77,12,6,1,1,40,0,0,35,0.41,0.62,0.38,0.58,1.2,1.37,1.37,18,181,80.8,0.9,4,7.2,Liverpool,"FW,MF",26.0
7,7,Trent Alexander-Arnold,eng,29,27,2,"2,467",85,1,12,0,0,14,3,0,9,0.04,0.47,0.04,0.47,0.33,0.51,0.51,13,175,77.5,0.3,1,7.36,Liverpool,"DF,MF",19.0
8,8,Fabinho,py,28,21,7,"2,013",72,1,2,0,0,30,6,0,4,0.04,0.13,0.04,0.13,0.18,1.34,1.34,3,188,85.3,2,0,6.95,Liverpool,DF,24.0
9,9,Jordan Henderson,pt,32,21,11,"1,981",62,1,3,0,0,26,2,0,1,0.05,0.18,0.05,0.18,0.05,1.18,1.18,4,182,87.2,0.8,0,6.67,Liverpool,MF,28.0
10,10,James Milner,eng,31,19,12,"1,785",58,5,4,3,3,28,6,0,8,0.25,0.45,0.1,0.3,0.4,1.41,1.41,9,175,84.6,0.6,1,6.91,Liverpool,MF,32.0
11,11,Joël Matip,es,22,17,5,"1,532",70,1,0,0,0,12,3,0,2,0.06,0.06,0.06,0.06,0.12,0.7,0.7,1,195,86.9,3,2,7.11,Liverpool,"DF,MF",26.0
12,12,Naby Keïta,es,25,16,9,"1,392",56,2,1,0,0,24,0,0,10,0.13,0.19,0.13,0.19,0.65,1.55,1.55,3,172,88.5,0.4,0,6.74,Liverpool,MF,23.0
13,13,Joe Gomez,be,16,12,4,"1,060",66,0,0,0,0,12,2,0,1,0.0,0.0,0.0,0.0,0.08,1.02,1.02,0,188,87.5,1.5,0,6.76,Liverpool,DF,21.0
14,14,Xherdan Shaqiri,eng,24,11,13,"1,057",44,6,3,0,0,9,2,0,10,0.51,0.77,0.51,0.77,0.85,0.77,0.77,9,169,81.2,0.1,1,6.71,Liverpool,MF,26.0
15,15,Dejan Lovren,it,13,11,2,985,76,1,0,0,0,3,1,0,1,0.09,0.09,0.09,0.09,0.09,0.27,0.27,1,188,86.6,4.1,1,7.08,Liverpool,DF,29.0
16,16,Daniel Sturridge,ke,18,4,14,496,28,2,1,0,0,5,1,0,6,0.36,0.54,0.36,0.54,1.09,0.91,0.91,3,188,80,0.2,0,6.41,Liverpool,"FW,MF",28.0
17,17,Adam Lallana,es,13,5,8,465,36,0,0,0,0,4,1,0,3,0.0,0.0,0.0,0.0,0.58,0.77,0.77,0,172,82.1,0.7,0,6.53,Liverpool,"FW,MF",30.0
18,18,Divock Origi,be,12,4,8,366,31,3,1,0,0,2,0,0,6,0.74,0.98,0.74,0.98,1.48,0.49,0.49,4,185,70.4,0.3,0,6.57,Liverpool,"FW,MF",23.0
19,19,Alberto Moreno,gr,2,2,0,155,78,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.58,0.58,0,171,87.6,0,0,6.65,Liverpool,"DF,MF",26.0
20,20,Nathaniel Clyne,cd,4,1,3,108,27,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0,175,83.1,0.3,0,6.29,Liverpool,DF,27.0
21,21,Alex Oxlade-Chamberlain,pt,2,0,2,19,10,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,4.74,0.0,0.0,0,180,76.9,0,0,6.35,Liverpool,MF,24.0
22,22,Rafael Camacho,eng,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,6.0,Liverpool,MF,18.0
