,Unnamed: 0_x,Name,Team_x,xG,xA,xG90,xA90,Unnamed: 0_y,index,Nationality,Apps,Starts,Subs,Minutes,Min / app,Goals_x,Assists_x,PK,PKAtt,Fouls,Yellows,Reds,SOT,Goals PG,Goals+Asst PG,Goals no PK PG,Goals+Asst no PK PG,SOT PG,Fouls PG,Cards PG,Goals+Assists,Height,Pass Accuracy,Aerials won,MOTMs,Rating,Team_y,Position,Age,Image
3,55,Xherdan Shaqiri,Liverpool,4.06,1.89,0.35,0.16,14,14,eng,24,11,13,"1,057",44,6,3,0,0,9,2,0,10,0.51,0.77,0.51,0.77,0.85,0.77,0.77,9,169,81.2,0.1,1,6.71,Liverpool,MF,26.0,img/lfc/shaqiri.png
20,458,Rafael Camacho,Liverpool,0.00,0.00,0.0,0.0,22,22,eng,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,6.0,Liverpool,MF,18.0,img/lfc/camacho.png
16,358,Alex Oxlade-Chamberlain,Liverpool,0.47,0.12,2.47,0.61,21,21,pt,2,0,2,19,10,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,4.74,0.0,0.0,0,180,76.9,0.0,0,6.35,Liverpool,MF,24.0,img/lfc/ox.png
12,183,Jordan Henderson,Liverpool,1.51,1.69,0.07,0.08,9,9,pt,32,21,11,"1,981",62,1,3,0,0,26,2,0,1,0.05,0.18,0.05,0.18,0.05,1.18,1.18,4,182,87.2,0.8,0,6.67,Liverpool,MF,28.0,img/lfc/henderson.png
14,233,Fabinho,Liverpool,1.14,1.31,0.05,0.06,8,8,py,28,21,7,"2,013",72,1,2,0,0,30,6,0,4,0.04,0.13,0.04,0.13,0.18,1.34,1.34,3,188,85.3,2.0,0,6.95,Liverpool,DF,24.0,img/lfc/fabinho.png
7,104,Georginio Wijnaldum,Liverpool,3.18,1.94,0.1,0.06,5,5,nl,35,32,3,"2,736",78,3,0,0,0,19,3,0,10,0.1,0.1,0.1,0.1,0.33,0.62,0.62,3,175,91.1,0.9,1,6.89,Liverpool,MF,27.0,img/lfc/gini.png
4,58,James Milner,Liverpool,3.36,5.64,0.17,0.29,10,10,eng,31,19,12,"1,785",58,5,4,3,3,28,6,0,8,0.25,0.45,0.1,0.3,0.4,1.41,1.41,9,175,84.6,0.6,1,6.91,Liverpool,MF,32.0,img/lfc/milner.png
9,151,Naby Keïta,Liverpool,2.55,1.07,0.16,0.07,12,12,es,25,16,9,"1,392",56,2,1,0,0,24,0,0,10,0.13,0.19,0.13,0.19,0.65,1.55,1.55,3,172,88.5,0.4,0,6.74,Liverpool,MF,23.0,img/lfc/keita.png
24,35,Christian Eriksen,Tottenham,5.66,7.88,0.18,0.26,25,2,dk,35,30,5,"2,772",79,8,12,0,0,17,3,0,31,0.26,0.65,0.26,0.65,1.01,0.55,0.55,20,182,81.0,0.4,2,7.08,Tottenham Hotspur,"DF,MF",26.0,img/thfc/eriksen.png
47,483,Oliver Skipp,Tottenham,0.06,0.03,0.02,0.01,46,23,eng,8,2,6,216,27,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,1.67,1.67,0,0,83.9,1.3,0,6.38,Tottenham Hotspur,MF,17.0,img/thfc/skipp.png
27,100,Eric Dier,Tottenham,1.42,1.10,0.08,0.07,37,14,cm,20,18,2,"1,509",76,3,0,0,0,24,4,0,3,0.18,0.18,0.18,0.18,0.18,1.43,1.43,3,188,84.9,1.8,0,6.74,Tottenham Hotspur,"DF,MF",24.0,img/thfc/dier.png
30,203,Victor Wanyama,Tottenham,1.08,0.06,0.19,0.01,43,20,ie,13,4,9,512,39,1,0,0,0,10,2,0,2,0.18,0.18,0.18,0.18,0.35,1.76,1.76,1,188,81.0,1.1,0,6.53,Tottenham Hotspur,MF,27.0,img/thfc/wanyama.png
31,209,Harry Winks,Tottenham,1.09,0.24,0.06,0.01,36,13,eng,26,17,9,"1,592",61,1,0,0,0,17,4,0,2,0.06,0.06,0.06,0.06,0.11,0.96,0.96,1,178,91.8,0.5,1,6.55,Tottenham Hotspur,MF,22.0,img/thfc/winks.png
38,319,Mousa Dembélé,Tottenham,0.03,0.00,0.01,0.0,42,19,jp,10,7,3,516,52,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0.0,0.0,2.09,2.09,0,185,89.6,0.6,0,6.38,Tottenham Hotspur,MF,31.0,img/thfc/dembele.png
41,340,Moussa Sissoko,Tottenham,0.96,2.79,0.04,0.11,27,4,fr,29,27,2,"2,336",81,0,3,0,0,25,2,0,3,0.0,0.12,0.0,0.12,0.12,0.96,0.96,3,187,86.7,0.8,0,6.75,Tottenham Hotspur,MF,28.0,img/thfc/sissoko.png
46,460,Luke Amos,Tottenham,0.00,0.00,0.0,0.0,50,27,eng,1,0,1,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,179,33.3,1.0,0,6.13,Tottenham Hotspur,MF,21.0,img/thfc/amos.png
25,62,Dele Alli,Tottenham,5.95,3.29,0.29,0.16,34,11,fr,25,22,3,"1,832",73,5,3,0,0,23,4,0,19,0.25,0.39,0.25,0.39,0.93,1.13,1.13,8,188,80.3,0.8,1,6.95,Tottenham Hotspur,MF,22.0,img/thfc/alli.png
