,Name,Nationality,Position,Team,Age,Apps,Starts,Subs,Minutes,Min / app,Goals,Assists,PK,PKAtt,Fouls,Yellows,Reds,SOT,Goals PG,Goals+Asst PG,Goals no PK PG,Goals+Asst no PK PG,SOT PG,Fouls PG,Cards PG
69,Bernd Leno,de,GK,Arsenal,26.0,32,31,1,"2,835",89,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Pierre-Emerick Aubameyang,ga,"MF,FW",Arsenal,29.0,36,30,6,"2,732",76,22,5,4,5,13,0,0,40,0.72,0.89,0.59,0.76,1.32,0.43,0.43
89,Shkodran Mustafi,de,DF,Arsenal,26.0,31,31,0,"2,615",84,2,0,0,0,42,9,0,9,0.07,0.07,0.07,0.07,0.31,1.45,1.45
108,Alexandre Lacazette,fr,FW,Arsenal,27.0,35,27,8,"2,505",72,13,8,0,0,51,2,0,32,0.47,0.75,0.47,0.75,1.15,1.83,1.83
109,Granit Xhaka,ch,MF,Arsenal,25.0,29,29,0,"2,501",86,4,2,0,0,45,10,0,12,0.14,0.22,0.14,0.22,0.43,1.62,1.62
124,Lucas Torreira,uy,MF,Arsenal,22.0,34,24,10,"2,379",70,2,2,0,0,37,7,1,6,0.08,0.15,0.08,0.15,0.23,1.4,1.4
140,Sokratis Papastathopoulos,gr,DF,Arsenal,30.0,25,25,0,"2,199",88,1,2,0,0,37,12,0,2,0.04,0.12,0.04,0.12,0.08,1.51,1.51
150,Mattéo Guendouzi,fr,MF,Arsenal,19.0,33,23,10,"2,142",65,0,0,0,0,25,9,0,3,0.0,0.0,0.0,0.0,0.13,1.05,1.05
183,Alex Iwobi,eng,FW,Arsenal,22.0,35,22,13,"1,972",56,3,6,0,0,8,0,0,14,0.14,0.41,0.14,0.41,0.64,0.37,0.37
192,Sead Kolašinac,sn,"MF,DF",Arsenal,25.0,24,22,2,"1,890",79,0,5,0,0,21,5,0,2,0.0,0.24,0.0,0.24,0.1,1.0,1.0
197,Nacho Monreal,eng,DF,Arsenal,32.0,22,21,1,"1,861",85,1,3,0,0,17,5,0,4,0.05,0.19,0.05,0.19,0.19,0.82,0.82
217,Mesut Özil,hr,MF,Arsenal,29.0,24,20,4,"1,741",73,5,2,0,0,10,2,0,6,0.26,0.36,0.26,0.36,0.31,0.52,0.52
228,Henrikh Mkhitaryan,de,"MF,FW",Arsenal,29.0,25,19,6,"1,644",66,6,4,0,0,27,1,0,14,0.33,0.55,0.33,0.55,0.77,1.48,1.48
239,Héctor Bellerín,eng,DF,Arsenal,23.0,19,18,1,"1,533",81,0,5,0,0,16,3,0,4,0.0,0.29,0.0,0.29,0.23,0.94,0.94
261,Laurent Koscielny,mx,DF,Arsenal,32.0,17,13,4,"1,330",78,3,0,0,0,11,1,0,4,0.2,0.2,0.2,0.2,0.27,0.74,0.74
262,Aaron Ramsey,fr,MF,Arsenal,27.0,28,14,14,"1,328",47,4,6,0,0,21,0,0,14,0.27,0.68,0.27,0.68,0.95,1.42,1.42
308,Ainsley Maitland-Niles,eng,"FW,MF",Arsenal,20.0,16,11,5,985,62,1,1,0,0,8,2,0,3,0.09,0.18,0.09,0.18,0.27,0.73,0.73
317,Stephan Lichtsteiner,es,"DF,MF",Arsenal,34.0,14,10,4,940,67,0,0,0,0,11,3,0,0,0.0,0.0,0.0,0.0,0.0,1.05,1.05
336,Rob Holding,be,DF,Arsenal,22.0,10,9,1,807,81,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0.0,0.0,0.67,0.67
374,Petr Čech,es,GK,Arsenal,36.0,7,7,0,585,84,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403,Mohamed Elneny,eg,MF,Arsenal,26.0,8,5,3,379,47,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.24,0.24
437,Carl Jenkinson,es,DF,Arsenal,26.0,3,2,1,165,55,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.55,0.55
439,Konstantinos Mavropanos,eng,DF,Arsenal,20.0,4,3,1,149,37,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0.0,0.0,1.21,1.21
440,Danny Welbeck,eng,"FW,MF",Arsenal,27.0,8,1,7,147,18,1,1,0,0,3,0,0,2,0.61,1.22,0.61,1.22,1.22,1.84,1.84
464,Denis Suárez,eng,MF,Arsenal,24.0,4,0,4,67,17,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
465,Joe Willock,eng,MF,Arsenal,18.0,2,1,1,64,32,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
468,Eddie Nketiah,eng,FW,Arsenal,19.0,5,0,5,62,12,1,0,0,0,1,0,0,1,1.45,1.45,1.45,1.45,1.45,1.45,1.45
497,Bukayo Saka,fr,MF,Arsenal,16.0,1,0,1,7,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
