,Name,Nationality,Position,Team,Age,Apps,Starts,Subs,Minutes,Min / app,Goals,Assists,PK,PKAtt,Fouls,Yellows,Reds,SOT,Goals PG,Goals+Asst PG,Goals no PK PG,Goals+Asst no PK PG,SOT PG,Fouls PG,Cards PG
12,Nathan Aké,nl,"DF,MF",Bournemouth,23.0,38,38,0,"3,412",90,4,0,0,0,28,3,0,8,0.11,0.11,0.11,0.11,0.21,0.74,0.74
29,Ryan Fraser,sco,MF,Bournemouth,24.0,38,35,3,"3,173",84,7,14,0,0,6,2,0,25,0.2,0.6,0.2,0.6,0.71,0.17,0.17
56,Joshua King,no,FW,Bournemouth,26.0,35,34,1,"2,974",85,12,3,5,6,52,3,0,23,0.36,0.45,0.21,0.3,0.7,1.57,1.57
73,Steve Cook,eng,"MF,DF",Bournemouth,27.0,31,31,0,"2,787",90,1,1,0,0,18,3,0,9,0.03,0.06,0.03,0.06,0.29,0.58,0.58
105,Callum Wilson,eng,FW,Bournemouth,26.0,30,29,1,"2,535",85,14,9,1,2,42,3,0,30,0.5,0.82,0.46,0.78,1.07,1.49,1.49
107,Jefferson Lerma,co,MF,Bournemouth,23.0,30,29,1,"2,510",84,2,0,0,0,44,12,0,8,0.07,0.07,0.07,0.07,0.29,1.58,1.58
133,David Brooks,wal,MF,Bournemouth,21.0,30,29,1,"2,279",76,7,5,0,0,15,3,0,20,0.28,0.47,0.28,0.47,0.79,0.59,0.59
146,Asmir Begović,ba,GK,Bournemouth,31.0,24,24,0,"2,160",90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,Adam Smith,eng,DF,Bournemouth,27.0,25,25,0,"2,072",83,1,1,0,0,18,5,1,1,0.04,0.09,0.04,0.09,0.04,0.78,0.78
218,Dan Gosling,de,"DF,MF",Bournemouth,28.0,25,19,6,"1,738",70,2,1,0,0,29,8,0,7,0.1,0.16,0.1,0.16,0.36,1.5,1.5
236,Charlie Daniels,be,DF,Bournemouth,31.0,21,17,4,"1,583",75,1,0,0,0,8,4,0,3,0.06,0.06,0.06,0.06,0.17,0.45,0.45
249,Andrew Surman,be,MF,Bournemouth,31.0,18,16,2,"1,438",80,0,0,0,0,8,2,0,1,0.0,0.0,0.0,0.0,0.06,0.5,0.5
270,Simon Francis,ar,DF,Bournemouth,33.0,17,13,4,"1,227",72,0,2,0,0,10,1,0,1,0.0,0.15,0.0,0.15,0.07,0.73,0.73
279,Nathaniel Clyne,ua,DF,Bournemouth,27.0,14,13,1,"1,145",82,0,1,0,0,9,2,0,0,0.0,0.08,0.0,0.08,0.0,0.71,0.71
290,Artur Boruc,eng,GK,Bournemouth,38.0,12,12,0,"1,080",90,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,Junior Stanislas,ng,MF,Bournemouth,28.0,23,11,12,"1,027",45,2,3,1,1,6,1,0,10,0.18,0.44,0.09,0.35,0.88,0.53,0.53
338,Jordon Ibe,br,"FW,MF",Bournemouth,22.0,19,9,10,794,42,1,1,0,0,8,1,0,3,0.11,0.23,0.11,0.23,0.34,0.91,0.91
350,Lewis Cook,eng,MF,Bournemouth,21.0,13,8,5,721,56,0,0,0,0,12,2,0,0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
367,Diego Rico,dk,DF,Bournemouth,25.0,12,5,7,607,51,0,0,0,0,10,1,0,0,0.0,0.0,0.0,0.0,0.0,1.48,1.48
399,Jack Simpson,eng,DF,Bournemouth,21.0,6,4,2,403,67,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0.0,0.22,0.67,0.67
411,Lys Mousset,fr,MF,Bournemouth,22.0,24,1,23,345,14,1,0,0,0,7,1,0,7,0.26,0.26,0.26,0.26,1.83,1.83,1.83
412,Dominic Solanke,eng,FW,Bournemouth,20.0,10,2,8,341,34,0,1,0,0,2,0,0,3,0.0,0.26,0.0,0.26,0.79,0.53,0.53
434,Mark Travers,es,GK,Bournemouth,19.0,2,2,0,180,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441,Tyrone Mings,ie,DF,Bournemouth,25.0,5,2,3,141,28,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
477,Emerson Hyndman,nl,MF,Bournemouth,22.0,1,0,1,37,37,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
489,Jermain Defoe,eng,FW,Bournemouth,35.0,4,0,4,21,5,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,4.29,0.0,0.0
