,Name,Nationality,Position,Team,Age,Apps,Starts,Subs,Minutes,Min / app,Goals,Assists,PK,PKAtt,Fouls,Yellows,Reds,SOT,Goals PG,Goals+Asst PG,Goals no PK PG,Goals+Asst no PK PG,SOT PG,Fouls PG,Cards PG
32,Lewis Dunk,eng,DF,Brighton & Hove Albion,26.0,36,36,0,"3,152",88,2,1,0,0,22,6,0,4,0.06,0.09,0.06,0.09,0.11,0.63,0.63
41,Shane Duffy,ie,"DF,MF",Brighton & Hove Albion,26.0,35,35,0,"3,087",88,5,1,0,0,23,4,1,16,0.15,0.17,0.15,0.17,0.47,0.67,0.67
46,Mathew Ryan,au,GK,Brighton & Hove Albion,26.0,34,34,0,"3,060",90,0,0,0,0,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0.03,0.03
103,Davy Pröpper,nl,MF,Brighton & Hove Albion,26.0,30,30,0,"2,551",85,1,1,0,0,34,2,0,2,0.04,0.07,0.04,0.07,0.07,1.2,1.2
106,Glenn Murray,eng,FW,Brighton & Hove Albion,34.0,38,30,8,"2,514",66,13,1,4,4,80,5,0,21,0.47,0.5,0.32,0.36,0.75,2.86,2.86
110,Dale Stephens,eng,MF,Brighton & Hove Albion,29.0,30,29,1,"2,486",83,1,1,0,0,44,6,1,1,0.04,0.07,0.04,0.07,0.04,1.59,1.59
114,Solly March,eng,MF,Brighton & Hove Albion,24.0,35,30,5,"2,473",71,1,5,0,0,29,1,0,9,0.04,0.22,0.04,0.22,0.33,1.06,1.06
143,Martín Montoya,es,DF,Brighton & Hove Albion,27.0,25,24,1,"2,166",87,0,1,0,0,29,4,0,1,0.0,0.04,0.0,0.04,0.04,1.2,1.2
193,Pascal Groß,ba,MF,Brighton & Hove Albion,27.0,25,24,1,"1,878",75,3,3,1,2,12,1,0,9,0.14,0.29,0.1,0.24,0.43,0.58,0.58
200,Anthony Knockaert,wal,"MF,FW",Brighton & Hove Albion,26.0,30,18,12,"1,833",61,2,6,0,0,23,4,1,9,0.1,0.39,0.1,0.39,0.44,1.13,1.13
203,Gaëtan Bong,eng,DF,Brighton & Hove Albion,30.0,22,19,3,"1,805",82,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.55,0.55
209,Yves Bissouma,eng,MF,Brighton & Hove Albion,21.0,28,17,11,"1,769",63,0,0,0,0,40,5,0,3,0.0,0.0,0.0,0.0,0.15,2.04,2.04
213,Bernardo,es,DF,Brighton & Hove Albion,23.0,22,19,3,"1,750",80,0,1,0,0,18,4,0,3,0.0,0.05,0.0,0.05,0.15,0.93,0.93
271,Jürgen Locadia,eng,FW,Brighton & Hove Albion,24.0,26,12,14,"1,227",47,2,0,0,0,22,1,0,10,0.15,0.15,0.15,0.15,0.73,1.61,1.61
282,Bruno,eng,DF,Brighton & Hove Albion,37.0,14,14,0,"1,136",81,0,1,0,0,4,2,0,0,0.0,0.08,0.0,0.08,0.0,0.32,0.32
300,Alireza Jahanbakhsh,eng,"MF,FW",Brighton & Hove Albion,24.0,19,12,7,"1,021",54,0,0,0,0,19,2,0,6,0.0,0.0,0.0,0.0,0.53,1.67,1.67
319,Beram Kayal,sn,MF,Brighton & Hove Albion,30.0,18,9,9,933,52,1,1,0,0,18,4,0,2,0.1,0.19,0.1,0.19,0.19,1.74,1.74
328,Florin Andone,eng,FW,Brighton & Hove Albion,25.0,23,8,15,873,38,3,0,0,0,28,5,0,9,0.31,0.31,0.31,0.31,0.93,2.89,2.89
340,José Izquierdo,nl,FW,Brighton & Hove Albion,26.0,15,9,6,794,53,0,1,0,0,6,1,0,3,0.0,0.11,0.0,0.11,0.34,0.68,0.68
372,Leon Balogun,br,DF,Brighton & Hove Albion,30.0,8,5,3,591,74,1,0,0,0,5,2,0,1,0.15,0.15,0.15,0.15,0.15,0.76,0.76
410,David Button,eng,GK,Brighton & Hove Albion,29.0,4,4,0,360,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
