,Name,Nationality,Position,Team,Age,Apps,Starts,Subs,Minutes,Min / app,Goals,Assists,PK,PKAtt,Fouls,Yellows,Reds,SOT,Goals PG,Goals+Asst PG,Goals no PK PG,Goals+Asst no PK PG,SOT PG,Fouls PG,Cards PG
9,Ben Mee,eng,DF,Burnley,28.0,38,38,0,"3,420",90,0,2,0,0,28,9,0,4,0.0,0.05,0.0,0.05,0.11,0.74,0.74
17,Jack Cork,eng,"DF,MF",Burnley,29.0,37,37,0,"3,313",90,1,2,0,0,32,6,0,2,0.03,0.08,0.03,0.08,0.05,0.87,0.87
24,Charlie Taylor,eng,DF,Burnley,24.0,38,35,3,"3,240",85,0,1,0,0,15,2,0,0,0.0,0.03,0.0,0.03,0.0,0.42,0.42
40,James Tarkowski,eng,DF,Burnley,25.0,35,35,0,"3,087",88,3,1,0,0,35,8,0,10,0.09,0.12,0.09,0.12,0.29,1.02,1.02
72,Ashley Westwood,eng,MF,Burnley,28.0,34,31,3,"2,822",83,2,7,0,0,30,5,0,7,0.06,0.29,0.06,0.29,0.22,0.96,0.96
95,Chris Wood,nz,FW,Burnley,26.0,38,29,9,"2,595",68,10,2,0,0,28,2,0,24,0.35,0.42,0.35,0.42,0.83,0.97,0.97
122,Ashley Barnes,at,FW,Burnley,28.0,37,26,11,"2,387",65,12,2,2,2,53,8,0,30,0.45,0.53,0.38,0.45,1.13,2.0,2.0
165,Jeff Hendrick,ie,MF,Burnley,26.0,32,25,7,"2,068",65,3,0,0,0,18,4,0,5,0.13,0.13,0.13,0.13,0.22,0.78,0.78
214,Jóhann Berg Guðmundsson,br,"FW,MF",Burnley,27.0,29,19,10,"1,749",60,3,6,0,0,10,2,0,9,0.15,0.46,0.15,0.46,0.46,0.51,0.51
215,Matthew Lowton,is,DF,Burnley,29.0,21,19,2,"1,748",83,0,0,0,0,22,7,0,1,0.0,0.0,0.0,0.0,0.05,1.13,1.13
220,Tom Heaton,fr,GK,Burnley,32.0,19,19,0,"1,710",90,0,0,0,0,1,3,0,0,0.0,0.0,0.0,0.0,0.0,0.05,0.05
221,Joe Hart,eng,GK,Burnley,31.0,19,19,0,"1,710",90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,Phil Bardsley,eng,DF,Burnley,33.0,19,19,0,"1,672",88,0,0,0,0,22,9,0,1,0.0,0.0,0.0,0.0,0.05,1.18,1.18
232,Dwight McNeil,ga,MF,Burnley,18.0,21,19,2,"1,598",76,3,5,0,0,15,2,0,6,0.17,0.45,0.17,0.45,0.34,0.84,0.84
273,Aaron Lennon,be,"FW,MF",Burnley,31.0,16,14,2,"1,216",76,1,1,0,0,12,1,0,2,0.07,0.15,0.07,0.15,0.15,0.89,0.89
321,Sam Vokes,ng,FW,Burnley,28.0,20,10,10,913,46,3,0,0,0,14,0,0,7,0.3,0.3,0.3,0.3,0.69,1.38,1.38
352,Robbie Brady,si,"MF,FW",Burnley,26.0,16,6,10,716,45,0,1,0,0,12,3,1,2,0.0,0.13,0.0,0.13,0.25,1.51,1.51
382,Kevin Long,be,DF,Burnley,27.0,6,5,1,513,86,0,1,0,0,3,0,0,0,0.0,0.18,0.0,0.18,0.0,0.53,0.53
393,Steven Defour,eng,MF,Burnley,30.0,6,6,0,452,75,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2
416,Matěj Vydra,cz,FW,Burnley,26.0,13,3,10,311,24,1,1,0,0,7,1,0,3,0.29,0.58,0.29,0.58,0.87,2.03,2.03
424,Stephen Ward,ie,"DF,FW,MF",Burnley,32.0,3,3,0,230,77,0,0,0,0,2,1,0,1,0.0,0.0,0.0,0.0,0.39,0.78,0.78
459,Peter Crouch,es,FW,Burnley,37.0,6,0,6,86,14,0,0,0,0,3,1,0,1,0.0,0.0,0.0,0.0,1.05,3.14,3.14
467,Ben Gibson,eng,DF,Burnley,25.0,1,1,0,63,63,1,0,0,0,2,1,0,1,1.43,1.43,1.43,1.43,1.43,2.86,2.86
