,Name,Nationality,Position,Team,Age,Apps,Starts,Subs,Minutes,Min / app,Goals,Assists,PK,PKAtt,Fouls,Yellows,Reds,SOT,Goals PG,Goals+Asst PG,Goals no PK PG,Goals+Asst no PK PG,SOT PG,Fouls PG,Cards PG
13,César Azpilicueta,es,DF,Chelsea,28.0,38,38,0,"3,403",90,1,5,0,0,40,4,0,7,0.03,0.16,0.03,0.16,0.19,1.06,1.06
23,Kepa Arrizabalaga,es,GK,Chelsea,23.0,36,36,0,"3,240",90,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,David Luiz,br,"DF,MF",Chelsea,31.0,36,36,0,"3,239",90,3,2,0,0,34,3,0,8,0.08,0.14,0.08,0.14,0.22,0.94,0.94
31,Jorginho,it,MF,Chelsea,26.0,37,37,0,"3,165",86,2,0,1,1,33,8,0,7,0.06,0.06,0.03,0.03,0.2,0.94,0.94
39,N'Golo Kanté,fr,MF,Chelsea,27.0,36,36,0,"3,095",86,4,4,0,0,35,3,0,6,0.12,0.23,0.12,0.23,0.17,1.02,1.02
64,Eden Hazard,be,"FW,MF",Chelsea,27.0,37,32,5,"2,926",79,16,15,4,4,12,2,0,43,0.49,0.95,0.37,0.83,1.32,0.37,0.37
66,Antonio Rüdiger,de,DF,Chelsea,25.0,33,33,0,"2,874",87,1,0,0,0,29,7,0,6,0.03,0.03,0.03,0.03,0.19,0.91,0.91
80,Marcos Alonso,es,DF,Chelsea,27.0,31,31,0,"2,761",89,2,4,0,0,28,6,0,7,0.07,0.2,0.07,0.2,0.23,0.91,0.91
158,Willian,br,MF,Chelsea,29.0,32,26,6,"2,108",66,3,6,0,0,12,2,0,22,0.13,0.38,0.13,0.38,0.94,0.51,0.51
206,Pedro,eng,"FW,MF",Chelsea,31.0,31,21,10,"1,780",57,8,2,0,0,17,2,0,25,0.4,0.51,0.4,0.51,1.26,0.86,0.86
216,Mateo Kovačić,eng,MF,Chelsea,24.0,32,21,11,"1,744",55,0,2,0,0,19,3,0,4,0.0,0.1,0.0,0.1,0.21,0.98,0.98
268,Ross Barkley,nl,MF,Chelsea,24.0,27,13,14,"1,241",46,3,5,0,0,14,1,0,9,0.22,0.58,0.22,0.58,0.65,1.02,1.02
288,Gonzalo Higuaín,be,"MF,FW",Chelsea,30.0,14,13,1,"1,092",78,5,0,0,0,6,0,0,15,0.41,0.41,0.41,0.41,1.24,0.49,0.49
309,Ruben Loftus-Cheek,eng,MF,Chelsea,22.0,24,6,18,983,41,6,2,0,0,10,0,0,8,0.55,0.73,0.55,0.73,0.73,0.92,0.92
316,Álvaro Morata,eng,FW,Chelsea,25.0,16,11,5,943,59,5,0,0,0,19,3,0,16,0.48,0.48,0.48,0.48,1.53,1.81,1.81
334,Olivier Giroud,fr,FW,Chelsea,31.0,27,7,20,832,31,2,4,0,0,12,1,0,10,0.22,0.65,0.22,0.65,1.08,1.3,1.3
360,Emerson Palmieri,eng,DF,Chelsea,23.0,10,7,3,660,66,0,0,0,0,8,0,0,1,0.0,0.0,0.0,0.0,0.14,1.09,1.09
366,Andreas Christensen,ie,DF,Chelsea,22.0,8,6,2,615,77,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0.0,0.0,1.17,1.17
400,Callum Hudson-Odoi,eng,MF,Chelsea,17.0,10,4,6,391,39,0,1,0,0,1,0,0,3,0.0,0.23,0.0,0.23,0.69,0.23,0.23
432,Willy Caballero,ar,GK,Chelsea,36.0,2,2,0,180,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
435,Cesc Fàbregas,no,"MF,FW",Chelsea,31.0,6,1,5,175,29,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.51,0.51
445,Davide Zappacosta,eng,DF,Chelsea,26.0,4,1,3,125,31,0,0,0,0,2,0,0,1,0.0,0.0,0.0,0.0,0.72,1.44,1.44
483,Victor Moses,eng,"MF,FW",Chelsea,27.0,2,0,2,26,13,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,3.46,3.46
487,Gary Cahill,eng,DF,Chelsea,32.0,2,0,2,22,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
