,Name,Nationality,Position,Team,Age,Apps,Starts,Subs,Minutes,Min / app,Goals,Assists,PK,PKAtt,Fouls,Yellows,Reds,SOT,Goals PG,Goals+Asst PG,Goals no PK PG,Goals+Asst no PK PG,SOT PG,Fouls PG,Cards PG
2,Luka Milivojević,rs,MF,Crystal Palace,27.0,38,38,0,"3,420",90,12,2,10,11,60,10,0,25,0.32,0.37,0.05,0.11,0.66,1.58,1.58
28,Patrick van Aanholt,nl,DF,Crystal Palace,27.0,36,36,0,"3,198",89,3,2,0,0,12,3,0,12,0.08,0.14,0.08,0.14,0.34,0.34,0.34
35,Aaron Wan-Bissaka,eng,DF,Crystal Palace,20.0,35,35,0,"3,134",90,0,3,0,0,23,4,1,0,0.0,0.09,0.0,0.09,0.0,0.66,0.66
43,James McArthur,sco,MF,Crystal Palace,30.0,38,36,2,"3,072",81,3,6,0,0,61,7,0,8,0.09,0.26,0.09,0.26,0.23,1.79,1.79
50,Wilfried Zaha,eng,"FW,MF",Crystal Palace,25.0,34,34,0,"3,040",89,10,5,0,0,45,9,0,27,0.3,0.44,0.3,0.44,0.8,1.33,1.33
52,Andros Townsend,eng,"FW,MF",Crystal Palace,27.0,38,34,4,"3,018",79,6,4,0,0,10,1,0,19,0.18,0.3,0.18,0.3,0.57,0.3,0.3
101,James Tomkins,eng,"MF,DF",Crystal Palace,29.0,29,29,0,"2,563",88,1,1,0,0,16,5,0,6,0.04,0.07,0.04,0.07,0.21,0.56,0.56
119,Mamadou Sakho,fr,DF,Crystal Palace,28.0,27,27,0,"2,417",90,0,0,0,0,6,2,0,1,0.0,0.0,0.0,0.0,0.04,0.22,0.22
191,Cheikhou Kouyaté,be,"DF,MF",Crystal Palace,28.0,31,21,10,"1,897",61,0,2,0,0,35,3,0,8,0.0,0.09,0.0,0.09,0.38,1.66,1.66
212,Vicente Guaita,fr,GK,Crystal Palace,31.0,20,20,0,"1,755",88,0,0,0,0,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0.05,0.05
226,Jeffrey Schlupp,eng,"DF,FW,MF",Crystal Palace,25.0,30,18,12,"1,665",56,4,1,0,0,25,1,0,8,0.22,0.27,0.22,0.27,0.43,1.35,1.35
237,Wayne Hennessey,eng,GK,Crystal Palace,31.0,18,17,1,"1,575",88,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,Max Meyer,nl,"FW,MF",Crystal Palace,22.0,29,15,14,"1,413",49,1,2,0,0,10,3,0,8,0.06,0.19,0.06,0.19,0.51,0.64,0.64
275,Jordan Ayew,eng,FW,Crystal Palace,26.0,20,14,6,"1,186",59,1,2,0,0,32,3,0,3,0.08,0.23,0.08,0.23,0.23,2.43,2.43
285,Martin Kelly,es,"MF,DF",Crystal Palace,28.0,13,12,1,"1,110",85,0,0,0,0,6,2,0,1,0.0,0.0,0.0,0.0,0.08,0.49,0.49
335,Christian Benteke,fr,FW,Crystal Palace,27.0,16,9,7,813,51,1,1,0,0,18,1,0,8,0.11,0.22,0.11,0.22,0.89,1.99,1.99
344,Michy Batshuayi,py,FW,Crystal Palace,24.0,11,9,2,756,69,5,0,0,0,7,0,0,10,0.6,0.6,0.6,0.6,1.19,0.83,0.83
359,Scott Dann,pt,DF,Crystal Palace,31.0,10,7,3,660,66,0,1,0,0,4,1,0,1,0.0,0.14,0.0,0.14,0.14,0.55,0.55
379,Joel Ward,fr,"DF,MF",Crystal Palace,28.0,7,6,1,551,79,1,0,0,0,8,1,0,1,0.16,0.16,0.16,0.16,0.16,1.31,1.31
436,Alexander Sørloth,eng,FW,Crystal Palace,22.0,12,0,12,173,14,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0.0,0.52,2.08,2.08
452,Julián Speroni,eng,GK,Crystal Palace,39.0,1,1,0,90,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
469,Connor Wickham,sn,"FW,MF",Crystal Palace,25.0,6,0,6,61,10,0,1,0,0,3,0,0,1,0.0,1.48,0.0,1.48,1.48,4.43,4.43
484,Bakary Sako,it,MF,Crystal Palace,30.0,4,0,4,25,6,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,3.6,3.6
496,Jason Puncheon,it,MF,Crystal Palace,32.0,5,0,5,8,2,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,33.75,33.75
501,Pape Souaré,eng,DF,Crystal Palace,28.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
