,Name,Nationality,Position,Team,Age,Apps,Starts,Subs,Minutes,Min / app,Goals,Assists,PK,PKAtt,Fouls,Yellows,Reds,SOT,Goals PG,Goals+Asst PG,Goals no PK PG,Goals+Asst no PK PG,SOT PG,Fouls PG,Cards PG
5,Jordan Pickford,eng,GK,Everton,24.0,38,38,0,"3,420",90,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.03,0.03
34,Gylfi Sigurðsson,is,MF,Everton,28.0,38,36,2,"3,134",83,13,6,2,5,33,3,0,34,0.37,0.55,0.32,0.49,0.98,0.95,0.95
59,Michael Keane,eng,DF,Everton,25.0,33,33,0,"2,970",90,1,2,0,0,23,2,0,9,0.03,0.09,0.03,0.09,0.27,0.7,0.7
60,Lucas Digne,fr,DF,Everton,25.0,35,33,2,"2,965",85,4,4,0,0,39,5,1,10,0.12,0.24,0.12,0.24,0.3,1.18,1.18
70,Idrissa Gana Gueye,sn,MF,Everton,28.0,33,32,1,"2,825",86,0,2,0,0,54,6,0,4,0.0,0.06,0.0,0.06,0.13,1.72,1.72
86,Richarlison,br,FW,Everton,21.0,35,32,3,"2,678",77,13,1,0,0,33,5,1,30,0.44,0.47,0.44,0.47,1.01,1.11,1.11
91,Kurt Zouma,fr,DF,Everton,23.0,32,29,3,"2,609",82,2,2,0,0,21,4,0,3,0.07,0.14,0.07,0.14,0.1,0.72,0.72
102,Séamus Coleman,ie,"DF,MF",Everton,29.0,29,29,0,"2,560",88,2,2,0,0,22,1,0,7,0.07,0.14,0.07,0.14,0.25,0.77,0.77
155,Bernard,br,"FW,MF",Everton,25.0,34,25,9,"2,128",63,1,3,0,0,17,5,0,5,0.04,0.17,0.04,0.17,0.21,0.72,0.72
157,Theo Walcott,eng,"MF,FW",Everton,29.0,37,24,13,"2,122",57,5,2,0,0,11,1,0,21,0.21,0.3,0.21,0.3,0.89,0.47,0.47
181,André Gomes,wal,MF,Everton,25.0,27,24,3,"1,986",74,1,1,0,0,49,7,0,5,0.05,0.09,0.05,0.09,0.23,2.22,2.22
208,Dominic Calvert-Lewin,bj,MF,Everton,21.0,35,19,16,"1,774",51,6,2,0,0,34,3,0,17,0.3,0.41,0.3,0.41,0.86,1.72,1.72
296,Cenk Tosun,fr,FW,Everton,27.0,25,10,15,"1,050",42,3,3,0,0,17,3,0,17,0.26,0.51,0.26,0.51,1.46,1.46,1.46
312,Tom Davies,eng,MF,Everton,20.0,16,10,6,975,61,0,0,0,0,21,3,0,2,0.0,0.0,0.0,0.0,0.18,1.94,1.94
324,Yerry Mina,es,DF,Everton,23.0,13,10,3,890,69,1,0,0,0,13,3,0,1,0.1,0.1,0.1,0.1,0.1,1.31,1.31
333,Morgan Schneiderlin,sco,MF,Everton,28.0,14,10,4,833,60,0,1,0,0,21,2,0,0,0.0,0.11,0.0,0.11,0.0,2.27,2.27
341,Jonjoe Kenny,co,"DF,FW",Everton,21.0,10,8,2,790,79,0,1,0,0,10,1,0,0,0.0,0.11,0.0,0.11,0.0,1.14,1.14
369,Ademola Lookman,eng,FW,Everton,20.0,21,3,18,601,29,0,2,0,0,8,0,0,3,0.0,0.3,0.0,0.3,0.45,1.2,1.2
398,Mason Holgate,nl,DF,Everton,21.0,5,4,1,407,81,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.44,0.44
404,Leighton Baines,eng,DF,Everton,33.0,6,5,1,376,63,0,0,0,0,2,0,0,1,0.0,0.0,0.0,0.0,0.24,0.48,0.48
414,Phil Jagielka,eng,"MF,DF",Everton,35.0,7,4,3,328,47,1,0,0,0,2,0,1,1,0.27,0.27,0.27,0.27,0.27,0.55,0.55
470,Oumar Niasse,ml,"FW,MF",Everton,28.0,5,0,5,58,12,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0.0,1.55,4.66,4.66
493,James McCarthy,eng,MF,Everton,27.0,1,0,1,14,14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
