,Name,Nationality,Position,Team,Age,Apps,Starts,Subs,Minutes,Min / app,Goals,Assists,PK,PKAtt,Fouls,Yellows,Reds,SOT,Goals PG,Goals+Asst PG,Goals no PK PG,Goals+Asst no PK PG,SOT PG,Fouls PG,Cards PG
19,Aleksandar Mitrović,rs,FW,Fulham,23.0,37,37,0,"3,281",89,11,3,1,1,61,7,0,48,0.3,0.38,0.27,0.36,1.32,1.67,1.67
90,Sergio Rico,es,GK,Fulham,24.0,29,29,0,"2,610",90,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.03,0.03
96,Denis Odoi,be,DF,Fulham,30.0,31,29,2,"2,594",84,0,1,0,0,37,4,0,1,0.0,0.03,0.0,0.03,0.03,1.28,1.28
98,Calum Chambers,eng,DF,Fulham,23.0,31,29,2,"2,586",83,2,0,0,0,35,9,0,11,0.07,0.07,0.07,0.07,0.38,1.22,1.22
127,Joe Bryan,eng,"MF,DF",Fulham,24.0,28,27,1,"2,350",84,0,1,0,0,25,5,0,8,0.0,0.04,0.0,0.04,0.31,0.96,0.96
132,Ryan Sessegnon,eng,DF,Fulham,18.0,35,26,9,"2,294",66,2,6,0,0,20,0,0,11,0.08,0.31,0.08,0.31,0.43,0.78,0.78
136,Maxime Le Marchand,fr,"DF,MF",Fulham,28.0,26,25,1,"2,252",87,0,1,0,0,28,5,0,0,0.0,0.04,0.0,0.04,0.0,1.12,1.12
137,Jean Seri,ci,MF,Fulham,27.0,32,27,5,"2,250",70,1,2,0,0,33,6,0,6,0.04,0.12,0.04,0.12,0.24,1.32,1.32
141,Tom Cairney,sco,MF,Fulham,27.0,31,24,7,"2,198",71,1,1,0,0,11,0,0,5,0.04,0.08,0.04,0.08,0.2,0.45,0.45
168,Tim Ream,de,DF,Fulham,30.0,26,25,1,"2,049",79,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0.0,0.0,0.48,0.48
185,Cyrus Christie,eng,DF,Fulham,25.0,28,19,9,"1,945",70,0,1,0,0,29,7,0,3,0.0,0.05,0.0,0.05,0.14,1.34,1.34
227,André Schürrle,gh,"FW,MF",Fulham,27.0,24,21,3,"1,651",69,6,0,0,0,17,2,0,18,0.33,0.33,0.33,0.33,0.98,0.93,0.93
243,Andre-Frank Zambo Anguissa,jp,MF,Fulham,22.0,22,16,6,"1,518",69,0,0,0,0,24,2,0,5,0.0,0.0,0.0,0.0,0.3,1.42,1.42
267,Ryan Babel,eng,"FW,MF",Fulham,31.0,16,15,1,"1,260",79,5,3,0,0,15,3,0,9,0.36,0.57,0.36,0.57,0.64,1.07,1.07
283,Alfie Mawson,es,DF,Fulham,24.0,15,13,2,"1,130",75,0,0,0,0,6,2,0,1,0.0,0.0,0.0,0.0,0.08,0.48,0.48
306,Luciano Vietto,hr,"FW,MF",Fulham,24.0,20,10,10,985,49,1,4,0,0,13,1,0,8,0.09,0.46,0.09,0.46,0.73,1.19,1.19
332,Kevin McDonald,wal,MF,Fulham,29.0,15,10,5,841,56,0,0,0,0,12,5,0,0,0.0,0.0,0.0,0.0,0.0,1.28,1.28
339,Timothy Fosu-Mensah,eng,DF,Fulham,20.0,12,10,2,794,66,0,0,0,0,7,3,0,1,0.0,0.0,0.0,0.0,0.11,0.79,0.79
354,Aboubakar Kamara,pt,FW,Fulham,23.0,13,5,8,690,53,3,0,1,2,24,2,0,10,0.39,0.39,0.26,0.26,1.3,3.13,3.13
364,Marcus Bettinelli,ci,GK,Fulham,26.0,7,7,0,630,90,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387,Floyd Ayité,it,"FW,MF",Fulham,29.0,16,3,13,468,29,1,0,0,0,6,0,0,1,0.19,0.19,0.19,0.19,0.19,1.15,1.15
396,Stefan Johansen,eng,MF,Fulham,27.0,12,4,8,411,34,0,0,0,0,6,4,0,0,0.0,0.0,0.0,0.0,0.0,1.31,1.31
409,Håvard Nordtveit,no,"DF,MF",Fulham,28.0,5,4,1,361,72,0,1,0,0,5,0,0,0,0.0,0.25,0.0,0.25,0.0,1.25,1.25
433,Fabricio,es,GK,Fulham,30.0,2,2,0,180,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
449,Neeskens Kebano,nir,MF,Fulham,26.0,7,0,7,101,14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458,Ibrahima Cissé,eng,"DF,MF",Fulham,24.0,3,1,2,87,29,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.03,1.03
475,Lazar Marković,de,"MF,FW",Fulham,24.0,1,0,1,45,45,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
