,Name,Nationality,Position,Team,Age,Apps,Starts,Subs,Minutes,Min / app,Goals,Assists,PK,PKAtt,Fouls,Yellows,Reds,SOT,Goals PG,Goals+Asst PG,Goals no PK PG,Goals+Asst no PK PG,SOT PG,Fouls PG,Cards PG
22,Christopher Schindler,de,DF,Huddersfield Town,28.0,37,37,0,"3,261",88,1,0,0,0,26,5,0,4,0.03,0.03,0.03,0.03,0.11,0.72,0.72
76,Jonas Lössl,dk,GK,Huddersfield Town,29.0,31,30,1,"2,777",90,0,1,0,0,0,1,0,0,0.0,0.03,0.0,0.03,0.0,0.0,0.0
85,Terence Kongolo,nl,DF,Huddersfield Town,24.0,32,32,0,"2,722",85,1,1,0,0,20,4,0,4,0.03,0.07,0.03,0.07,0.13,0.66,0.66
125,Jonathan Hogg,eng,MF,Huddersfield Town,29.0,29,29,0,"2,376",82,0,1,0,0,58,8,1,1,0.0,0.04,0.0,0.04,0.04,2.2,2.2
130,Aaron Mooy,au,MF,Huddersfield Town,27.0,29,25,4,"2,327",80,3,1,1,1,26,4,0,14,0.12,0.15,0.08,0.12,0.54,1.01,1.01
142,Philip Billing,dk,MF,Huddersfield Town,22.0,27,25,2,"2,191",81,2,0,0,0,38,7,0,9,0.08,0.08,0.08,0.08,0.37,1.56,1.56
148,Mathias Jørgensen,dk,DF,Huddersfield Town,28.0,24,24,0,"2,148",90,3,1,0,0,33,6,0,4,0.13,0.17,0.13,0.17,0.17,1.38,1.38
161,Alex Pritchard,eng,MF,Huddersfield Town,25.0,30,26,4,"2,091",70,2,0,0,0,14,2,0,13,0.09,0.09,0.09,0.09,0.56,0.6,0.6
166,Chris Löwe,de,"MF,DF",Huddersfield Town,29.0,29,23,6,"2,057",71,0,2,0,0,14,2,0,6,0.0,0.09,0.0,0.09,0.26,0.61,0.61
167,Erik Durm,tr,"DF,FW",Huddersfield Town,26.0,28,21,7,"2,051",73,0,1,0,0,13,0,0,0,0.0,0.04,0.0,0.04,0.0,0.57,0.57
198,Florent Hadergjonaj,es,DF,Huddersfield Town,24.0,24,19,5,"1,840",77,0,0,0,0,12,1,0,2,0.0,0.0,0.0,0.0,0.1,0.59,0.59
207,Steve Mounié,es,FW,Huddersfield Town,23.0,31,19,12,"1,776",57,2,3,0,0,32,1,1,24,0.1,0.25,0.1,0.25,1.22,1.62,1.62
252,Juninho Bacuna,eng,FW,Huddersfield Town,20.0,21,16,5,"1,415",67,1,0,0,0,34,4,0,8,0.06,0.06,0.06,0.06,0.51,2.16,2.16
276,Elias Kachunga,gh,FW,Huddersfield Town,26.0,20,13,7,"1,181",59,0,0,0,0,24,2,0,3,0.0,0.0,0.0,0.0,0.23,1.83,1.83
281,Tommy Smith,ma,DF,Huddersfield Town,26.0,15,13,2,"1,141",76,0,0,0,0,11,2,1,0,0.0,0.0,0.0,0.0,0.0,0.87,0.87
292,Laurent Depoitre,eng,FW,Huddersfield Town,29.0,23,10,13,"1,061",46,0,1,0,0,19,1,0,7,0.0,0.08,0.0,0.08,0.59,1.61,1.61
310,Isaac Mbenza,eng,FW,Huddersfield Town,22.0,22,10,12,982,45,1,1,0,0,9,1,0,5,0.09,0.18,0.09,0.18,0.46,0.82,0.82
327,Karlan Ahearne-Grant,cl,FW,Huddersfield Town,20.0,13,9,4,874,67,3,0,0,0,8,0,0,11,0.31,0.31,0.31,0.31,1.13,0.82,0.82
351,Jon Gorenc Stanković,eng,MF,Huddersfield Town,22.0,11,9,2,717,65,1,0,0,0,9,2,0,2,0.13,0.13,0.13,0.13,0.25,1.13,1.13
377,Ben Hamer,cw,GK,Huddersfield Town,30.0,7,7,0,553,79,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
