,Name,Nationality,Position,Team,Age,Apps,Starts,Subs,Minutes,Min / app,Goals,Assists,PK,PKAtt,Fouls,Yellows,Reds,SOT,Goals PG,Goals+Asst PG,Goals no PK PG,Goals+Asst no PK PG,SOT PG,Fouls PG,Cards PG
6,Kasper Schmeichel,dk,GK,Leicester City,31.0,38,38,0,"3,420",90,0,0,0,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Wilfred Ndidi,ng,DF,Leicester City,21.0,38,37,1,"3,298",87,2,0,0,0,47,8,0,9,0.05,0.05,0.05,0.05,0.25,1.28,1.28
25,Ben Chilwell,eng,DF,Leicester City,21.0,36,36,0,"3,240",90,0,4,0,0,32,4,0,10,0.0,0.11,0.0,0.11,0.28,0.89,0.89
36,Ricardo Pereira,pt,"MF,DF,FW",Leicester City,24.0,35,35,0,"3,125",89,2,6,0,0,43,7,0,9,0.06,0.23,0.06,0.23,0.26,1.24,1.24
68,James Maddison,eng,MF,Leicester City,21.0,36,35,1,"2,848",79,7,7,1,2,26,4,0,29,0.22,0.44,0.19,0.41,0.92,0.82,0.82
83,Jamie Vardy,eng,FW,Leicester City,31.0,34,30,4,"2,735",80,18,4,4,5,20,3,1,40,0.59,0.72,0.46,0.59,1.32,0.66,0.66
94,Harry Maguire,eng,DF,Leicester City,25.0,31,31,0,"2,598",84,3,0,0,0,20,6,1,13,0.1,0.1,0.1,0.1,0.45,0.69,0.69
162,Nampalys Mendy,fr,MF,Leicester City,26.0,31,23,8,"2,087",67,0,0,0,0,22,5,0,0,0.0,0.0,0.0,0.0,0.0,0.95,0.95
178,Demarai Gray,sco,MF,Leicester City,22.0,34,23,11,"1,995",59,4,1,0,0,15,2,0,19,0.18,0.23,0.18,0.23,0.86,0.68,0.68
179,Jonny Evans,eng,DF,Leicester City,30.0,24,21,3,"1,995",83,1,0,0,0,21,2,0,4,0.05,0.05,0.05,0.05,0.18,0.95,0.95
188,Wes Morgan,eng,DF,Leicester City,34.0,22,21,1,"1,924",88,3,0,0,0,18,3,0,5,0.14,0.14,0.14,0.14,0.23,0.84,0.84
229,Marc Albrighton,am,MF,Leicester City,28.0,27,18,9,"1,626",60,2,2,0,0,10,3,0,7,0.11,0.22,0.11,0.22,0.39,0.55,0.55
287,Youri Tielemans,es,MF,Leicester City,21.0,13,13,0,"1,092",84,3,4,0,0,11,2,0,12,0.25,0.58,0.25,0.58,0.99,0.91,0.91
303,Harvey Barnes,pt,MF,Leicester City,20.0,16,11,5,"1,009",63,1,2,0,0,7,0,0,10,0.09,0.27,0.09,0.27,0.89,0.62,0.62
320,Kelechi Iheanacho,il,FW,Leicester City,21.0,30,9,21,926,31,1,3,0,0,14,2,0,6,0.1,0.39,0.1,0.39,0.58,1.36,1.36
348,Rachid Ghezzal,be,MF,Leicester City,26.0,19,8,11,735,39,1,0,0,0,13,3,0,5,0.12,0.12,0.12,0.12,0.61,1.59,1.59
362,Daniel Amartey,eng,"MF,DF",Leicester City,23.0,9,7,2,640,71,0,0,0,0,6,2,0,1,0.0,0.0,0.0,0.0,0.14,0.84,0.84
370,Hamza Choudhury,eng,MF,Leicester City,20.0,9,7,2,596,66,0,0,0,0,7,0,0,2,0.0,0.0,0.0,0.0,0.3,1.06,1.06
406,Çağlar Söyüncü,tr,DF,Leicester City,22.0,6,4,2,371,62,0,0,0,0,9,1,0,0,0.0,0.0,0.0,0.0,0.0,2.18,2.18
418,Danny Simpson,eng,DF,Leicester City,31.0,6,3,3,291,49,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.62,0.62
420,Shinji Okazaki,jp,FW,Leicester City,32.0,21,1,20,269,13,0,1,0,0,6,0,0,4,0.0,0.33,0.0,0.33,1.34,2.01,2.01
425,Vicente Iborra,es,MF,Leicester City,30.0,8,3,5,226,28,0,0,0,0,6,0,0,1,0.0,0.0,0.0,0.0,0.4,2.39,2.39
429,Christian Fuchs,at,"DF,MF",Leicester City,32.0,3,2,1,206,69,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,1.31,1.31
457,Adrien Silva,be,MF,Leicester City,29.0,2,1,1,88,44,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.02,1.02
471,Fousseni Diabaté,eng,MF,Leicester City,22.0,1,1,0,55,55,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
