,Name,Nationality,Position,Team,Age,Apps,Starts,Subs,Minutes,Min / app,Goals,Assists,PK,PKAtt,Fouls,Yellows,Reds,SOT,Goals PG,Goals+Asst PG,Goals no PK PG,Goals+Asst no PK PG,SOT PG,Fouls PG,Cards PG
7,Alisson,br,GK,Liverpool,25.0,38,38,0,"3,420",90,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Virgil van Dijk,nl,DF,Liverpool,27.0,38,38,0,"3,385",89,4,2,0,0,12,1,0,10,0.11,0.16,0.11,0.16,0.27,0.32,0.32
21,Mohamed Salah,eg,"MF,FW",Liverpool,26.0,38,37,1,"3,262",86,22,8,3,3,25,1,0,64,0.61,0.83,0.52,0.74,1.77,0.69,0.69
27,Andrew Robertson,sco,DF,Liverpool,24.0,36,36,0,"3,219",89,0,11,0,0,20,4,0,5,0.0,0.31,0.0,0.31,0.14,0.56,0.56
42,Sadio Mané,sn,"FW,MF",Liverpool,26.0,36,35,1,"3,086",86,22,1,0,0,35,2,0,42,0.64,0.67,0.64,0.67,1.22,1.02,1.02
82,Georginio Wijnaldum,nl,MF,Liverpool,27.0,35,32,3,"2,736",78,3,0,0,0,19,3,0,10,0.1,0.1,0.1,0.1,0.33,0.62,0.62
88,Roberto Firmino,br,"FW,MF",Liverpool,26.0,34,31,3,"2,620",77,12,6,1,1,40,0,0,35,0.41,0.62,0.38,0.58,1.2,1.37,1.37
115,Trent Alexander-Arnold,eng,"DF,MF",Liverpool,19.0,29,27,2,"2,467",85,1,12,0,0,14,3,0,9,0.04,0.47,0.04,0.47,0.33,0.51,0.51
173,Fabinho,py,DF,Liverpool,24.0,28,21,7,"2,013",72,1,2,0,0,30,6,0,4,0.04,0.13,0.04,0.13,0.18,1.34,1.34
182,Jordan Henderson,pt,MF,Liverpool,28.0,32,21,11,"1,981",62,1,3,0,0,26,2,0,1,0.05,0.18,0.05,0.18,0.05,1.18,1.18
205,James Milner,eng,MF,Liverpool,32.0,31,19,12,"1,785",58,5,4,3,3,28,6,0,8,0.25,0.45,0.1,0.3,0.4,1.41,1.41
240,Joël Matip,es,"DF,MF",Liverpool,26.0,22,17,5,"1,532",70,1,0,0,0,12,3,0,2,0.06,0.06,0.06,0.06,0.12,0.7,0.7
255,Naby Keïta,es,MF,Liverpool,23.0,25,16,9,"1,392",56,2,1,0,0,24,0,0,10,0.13,0.19,0.13,0.19,0.65,1.55,1.55
293,Joe Gomez,be,DF,Liverpool,21.0,16,12,4,"1,060",66,0,0,0,0,12,2,0,1,0.0,0.0,0.0,0.0,0.08,1.02,1.02
294,Xherdan Shaqiri,eng,MF,Liverpool,26.0,24,11,13,"1,057",44,6,3,0,0,9,2,0,10,0.51,0.77,0.51,0.77,0.85,0.77,0.77
305,Dejan Lovren,it,DF,Liverpool,29.0,13,11,2,985,76,1,0,0,0,3,1,0,1,0.09,0.09,0.09,0.09,0.09,0.27,0.27
384,Daniel Sturridge,ke,"FW,MF",Liverpool,28.0,18,4,14,496,28,2,1,0,0,5,1,0,6,0.36,0.54,0.36,0.54,1.09,0.91,0.91
390,Adam Lallana,es,"FW,MF",Liverpool,30.0,13,5,8,465,36,0,0,0,0,4,1,0,3,0.0,0.0,0.0,0.0,0.58,0.77,0.77
408,Divock Origi,be,"FW,MF",Liverpool,23.0,12,4,8,366,31,3,1,0,0,2,0,0,6,0.74,0.98,0.74,0.98,1.48,0.49,0.49
438,Alberto Moreno,gr,"DF,MF",Liverpool,26.0,2,2,0,155,78,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.58,0.58
448,Nathaniel Clyne,cd,DF,Liverpool,27.0,4,1,3,108,27,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.83,0.0,0.0
490,Alex Oxlade-Chamberlain,pt,MF,Liverpool,24.0,2,0,2,19,10,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,4.74,0.0,0.0
504,Rafael Camacho,eng,MF,Liverpool,18.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
