,Name,Nationality,Position,Team,Age,Apps,Starts,Subs,Minutes,Min / app,Goals,Assists,PK,PKAtt,Fouls,Yellows,Reds,SOT,Goals PG,Goals+Asst PG,Goals no PK PG,Goals+Asst no PK PG,SOT PG,Fouls PG,Cards PG
4,Ederson,br,GK,Manchester City,24.0,38,38,0,"3,420",90,0,1,0,0,2,2,0,0,0.0,0.03,0.0,0.03,0.0,0.05,0.05
47,Aymeric Laporte,fr,DF,Manchester City,24.0,35,34,1,"3,057",87,3,3,0,0,22,3,0,7,0.09,0.18,0.09,0.18,0.21,0.65,0.65
67,Bernardo Silva,pt,"MF,FW",Manchester City,23.0,36,31,5,"2,853",79,7,7,0,0,31,3,0,22,0.22,0.44,0.22,0.44,0.69,0.98,0.98
75,Kyle Walker,eng,DF,Manchester City,28.0,33,30,3,"2,777",84,1,1,0,0,15,3,0,4,0.03,0.06,0.03,0.06,0.13,0.49,0.49
77,Raheem Sterling,eng,"MF,FW",Manchester City,23.0,34,31,3,"2,777",82,17,9,0,0,41,3,0,39,0.55,0.84,0.55,0.84,1.26,1.33,1.33
111,Sergio Agüero,ar,FW,Manchester City,30.0,33,31,2,"2,480",75,21,8,2,2,22,4,0,43,0.76,1.05,0.69,0.98,1.56,0.8,0.8
120,David Silva,es,MF,Manchester City,32.0,33,28,5,"2,411",73,6,8,0,0,26,2,0,20,0.22,0.52,0.22,0.52,0.75,0.97,0.97
123,Fernandinho,br,MF,Manchester City,33.0,29,27,2,"2,381",82,1,3,0,0,40,5,0,7,0.04,0.15,0.04,0.15,0.26,1.51,1.51
152,İlkay Gündoğan,de,MF,Manchester City,27.0,31,23,8,"2,135",69,6,3,0,0,14,3,0,11,0.25,0.38,0.25,0.38,0.46,0.59,0.59
195,Leroy Sané,it,"FW,MF",Manchester City,22.0,31,21,10,"1,867",60,10,10,0,0,10,1,0,25,0.48,0.96,0.48,0.96,1.21,0.48,0.48
210,John Stones,ml,DF,Manchester City,24.0,24,20,4,"1,762",73,0,0,0,0,6,1,0,1,0.0,0.0,0.0,0.0,0.05,0.31,0.31
259,Riyad Mahrez,br,"FW,MF",Manchester City,27.0,27,14,13,"1,339",50,7,4,0,1,10,0,0,25,0.47,0.74,0.47,0.74,1.68,0.67,0.67
269,Nicolás Otamendi,eng,DF,Manchester City,30.0,18,14,4,"1,233",69,0,0,0,0,8,1,0,3,0.0,0.0,0.0,0.0,0.22,0.58,0.58
272,Vincent Kompany,nl,DF,Manchester City,32.0,17,13,4,"1,223",72,1,0,0,0,17,6,0,1,0.07,0.07,0.07,0.07,0.07,1.25,1.25
278,Oleksandr Zinchenko,nl,MF,Manchester City,21.0,14,14,0,"1,153",82,0,3,0,0,15,1,0,1,0.0,0.23,0.0,0.23,0.08,1.17,1.17
301,Gabriel Jesus,ir,FW,Manchester City,21.0,29,8,21,"1,019",35,7,3,1,1,12,1,0,25,0.62,0.88,0.53,0.79,2.21,1.06,1.06
313,Kevin De Bruyne,eng,MF,Manchester City,27.0,19,11,8,974,51,2,2,0,0,10,2,0,13,0.18,0.37,0.18,0.37,1.2,0.92,0.92
322,Benjamin Mendy,wal,DF,Manchester City,24.0,10,10,0,900,90,0,5,0,0,12,1,0,3,0.0,0.5,0.0,0.5,0.3,1.2,1.2
337,Danilo,eng,"DF,MF",Manchester City,27.0,11,9,2,806,73,1,0,0,0,10,1,0,3,0.11,0.11,0.11,0.11,0.33,1.12,1.12
349,Fabian Delph,dz,MF,Manchester City,28.0,11,8,3,724,66,0,1,0,0,6,1,1,3,0.0,0.12,0.0,0.12,0.37,0.75,0.75
415,Phil Foden,eng,MF,Manchester City,18.0,13,3,10,327,25,1,0,0,0,4,0,0,6,0.28,0.28,0.28,0.28,1.65,1.1,1.1
