,Name,Nationality,Position,Team,Age,Apps,Starts,Subs,Minutes,Min / app,Goals,Assists,PK,PKAtt,Fouls,Yellows,Reds,SOT,Goals PG,Goals+Asst PG,Goals no PK PG,Goals+Asst no PK PG,SOT PG,Fouls PG,Cards PG
3,Martin Dúbravka,sk,GK,Newcastle United,29.0,38,38,0,"3,420",90,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.03,0.03
62,Matt Ritchie,sco,MF,Newcastle United,28.0,36,35,1,"2,941",82,2,8,1,2,55,9,0,10,0.06,0.31,0.03,0.28,0.31,1.68,1.68
63,Ayoze Pérez,es,FW,Newcastle United,25.0,37,34,3,"2,929",79,12,2,0,0,46,2,0,28,0.37,0.43,0.37,0.43,0.86,1.41,1.41
81,Jamaal Lascelles,eng,DF,Newcastle United,24.0,32,32,0,"2,745",86,0,1,0,0,16,4,0,1,0.0,0.03,0.0,0.03,0.03,0.52,0.52
92,Salomón Rondón,ve,FW,Newcastle United,28.0,32,30,2,"2,608",82,11,7,0,0,22,1,0,29,0.38,0.62,0.38,0.62,1.0,0.76,0.76
113,DeAndre Yedlin,us,DF,Newcastle United,25.0,29,28,1,"2,474",85,1,2,0,0,41,6,1,3,0.04,0.11,0.04,0.11,0.11,1.49,1.49
144,Mohamed Diamé,sn,MF,Newcastle United,31.0,29,24,5,"2,166",75,0,0,0,0,36,3,0,3,0.0,0.0,0.0,0.0,0.12,1.5,1.5
175,Fabian Schär,ie,DF,Newcastle United,26.0,24,22,2,"2,004",84,4,1,0,0,28,12,0,7,0.18,0.22,0.18,0.22,0.31,1.26,1.26
180,Paul Dummett,nir,DF,Newcastle United,26.0,26,21,5,"1,987",76,0,0,0,0,11,1,0,1,0.0,0.0,0.0,0.0,0.05,0.5,0.5
196,Isaac Hayden,de,DF,Newcastle United,23.0,25,21,4,"1,862",75,1,4,0,0,32,3,1,5,0.05,0.24,0.05,0.24,0.24,1.55,1.55
246,Christian Atsu,pt,"MF,FW",Newcastle United,26.0,28,15,13,"1,487",53,1,0,0,0,14,2,0,14,0.06,0.06,0.06,0.06,0.85,0.85,0.85
247,Federico Fernández,gh,DF,Newcastle United,29.0,19,17,2,"1,482",78,0,1,0,0,12,2,0,1,0.0,0.06,0.0,0.06,0.06,0.73,0.73
258,Kenedy,pt,"FW,MF",Newcastle United,22.0,25,14,11,"1,344",54,1,1,0,1,18,1,0,6,0.07,0.13,0.07,0.13,0.4,1.21,1.21
263,Ki Sung-yueng,wal,MF,Newcastle United,29.0,18,14,4,"1,302",72,0,1,0,0,12,2,0,2,0.0,0.07,0.0,0.07,0.14,0.83,0.83
286,Javier Manquillo,eng,DF,Newcastle United,24.0,18,12,6,"1,097",61,0,3,0,0,13,2,0,1,0.0,0.25,0.0,0.25,0.08,1.07,1.07
295,Florian Lejeune,ch,"MF,DF",Newcastle United,27.0,12,12,0,"1,055",88,0,0,0,0,11,0,0,2,0.0,0.0,0.0,0.0,0.17,0.94,0.94
315,Jonjo Shelvey,ar,MF,Newcastle United,26.0,16,10,6,944,59,1,1,0,0,16,1,0,8,0.1,0.19,0.1,0.19,0.76,1.53,1.53
330,Ciaran Clark,sco,"DF,MF",Newcastle United,28.0,11,9,2,858,78,3,0,0,0,6,1,0,3,0.31,0.31,0.31,0.31,0.31,0.63,0.63
343,Miguel Almirón,no,MF,Newcastle United,24.0,10,9,1,763,76,0,0,0,0,6,0,0,8,0.0,0.0,0.0,0.0,0.94,0.71,0.71
356,Sean Longstaff,ar,MF,Newcastle United,20.0,9,8,1,687,76,1,0,0,0,7,2,0,2,0.13,0.13,0.13,0.13,0.26,0.92,0.92
373,Joselu,ng,FW,Newcastle United,28.0,16,5,11,587,37,2,0,0,0,5,1,0,5,0.31,0.31,0.31,0.31,0.77,0.77,0.77
380,Yoshinori Mutō,eng,MF,Newcastle United,26.0,17,5,12,516,30,1,0,0,0,13,1,0,3,0.17,0.17,0.17,0.17,0.52,2.27,2.27
417,Jacob Murphy,eng,FW,Newcastle United,23.0,9,3,6,299,33,0,1,0,0,4,0,0,1,0.0,0.3,0.0,0.3,0.3,1.2,1.2
498,Antonio Barreca,eng,DF,Newcastle United,23.0,1,0,1,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
