,Name,Nationality,Position,Team,Age,Apps,Starts,Subs,Minutes,Min / app,Goals,Assists,PK,PKAtt,Fouls,Yellows,Reds,SOT,Goals PG,Goals+Asst PG,Goals no PK PG,Goals+Asst no PK PG,SOT PG,Fouls PG,Cards PG
20,Nathan Redmond,eng,MF,Southampton,24.0,38,36,2,"3,278",86,6,4,0,0,29,3,0,22,0.16,0.27,0.16,0.27,0.6,0.8,0.8
79,Pierre Højbjerg,dk,MF,Southampton,22.0,31,31,0,"2,762",89,4,3,0,0,50,8,1,19,0.13,0.23,0.13,0.23,0.62,1.63,1.63
138,Alex McCarthy,eng,GK,Southampton,28.0,25,25,0,"2,250",90,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,Ryan Bertrand,eng,"MF,DF",Southampton,28.0,24,24,0,"2,160",90,1,0,0,0,27,8,0,2,0.04,0.04,0.04,0.04,0.08,1.13,1.13
147,Jan Bednarek,pl,DF,Southampton,22.0,25,24,1,"2,150",86,0,1,0,0,22,7,0,1,0.0,0.04,0.0,0.04,0.04,0.92,0.92
151,Oriol Romeu,es,MF,Southampton,26.0,31,25,6,"2,139",69,1,0,0,0,46,11,0,4,0.04,0.04,0.04,0.04,0.17,1.94,1.94
171,Jannik Vestergaard,es,DF,Southampton,25.0,23,23,0,"2,030",88,0,0,0,0,16,2,0,1,0.0,0.0,0.0,0.0,0.04,0.71,0.71
187,James Ward-Prowse,co,MF,Southampton,23.0,26,21,5,"1,942",75,7,0,1,1,23,4,0,16,0.32,0.32,0.28,0.28,0.74,1.07,1.07
219,Yann Valery,eng,DF,Southampton,19.0,23,20,3,"1,713",75,2,1,0,0,28,4,0,5,0.11,0.16,0.11,0.16,0.26,1.47,1.47
222,Jack Stephens,eng,DF,Southampton,24.0,24,19,5,"1,696",71,1,0,0,0,13,4,0,5,0.05,0.05,0.05,0.05,0.27,0.69,0.69
225,Danny Ings,eng,FW,Southampton,26.0,24,23,1,"1,666",69,7,3,3,3,16,1,0,23,0.38,0.54,0.22,0.38,1.24,0.86,0.86
231,Mario Lemina,fr,"DF,MF",Southampton,24.0,21,18,3,"1,615",77,1,1,0,0,31,5,0,6,0.06,0.11,0.06,0.11,0.33,1.73,1.73
242,Maya Yoshida,nl,DF,Southampton,29.0,17,17,0,"1,520",89,0,1,0,0,4,0,0,3,0.0,0.06,0.0,0.06,0.18,0.24,0.24
245,Cédric Soares,eng,DF,Southampton,26.0,18,16,2,"1,494",83,1,2,0,0,9,4,0,3,0.06,0.18,0.06,0.18,0.18,0.54,0.54
250,Stuart Armstrong,eng,MF,Southampton,26.0,29,16,13,"1,432",49,3,2,0,0,19,2,0,12,0.19,0.31,0.19,0.31,0.75,1.19,1.19
265,Shane Long,es,FW,Southampton,31.0,26,12,14,"1,270",49,5,1,0,0,26,3,0,10,0.35,0.43,0.35,0.43,0.71,1.84,1.84
274,Matt Targett,eng,DF,Southampton,22.0,16,13,3,"1,187",74,1,3,0,0,8,2,0,3,0.08,0.3,0.08,0.3,0.23,0.61,0.61
277,Wesley Hoedt,de,DF,Southampton,24.0,13,13,0,"1,170",90,0,0,0,0,15,2,0,1,0.0,0.0,0.0,0.0,0.08,1.15,1.15
291,Angus Gunn,pl,GK,Southampton,22.0,12,12,0,"1,080",90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,Charlie Austin,be,FW,Southampton,29.0,25,11,14,980,39,2,2,0,1,14,1,0,9,0.18,0.37,0.18,0.37,0.83,1.29,1.29
342,Mohamed Elyounoussi,eng,FW,Southampton,23.0,16,8,8,790,49,0,0,0,0,10,0,0,6,0.0,0.0,0.0,0.0,0.68,1.14,1.14
386,Manolo Gabbiadini,eng,FW,Southampton,26.0,12,4,8,470,39,1,0,0,0,9,0,0,8,0.19,0.19,0.19,0.19,1.53,1.72,1.72
428,Josh Sims,eng,MF,Southampton,21.0,7,2,5,209,30,0,1,0,0,1,0,0,1,0.0,0.43,0.0,0.43,0.43,0.43,0.43
442,Michael Obafemi,wal,FW,Southampton,18.0,6,1,5,135,23,1,1,0,0,2,1,0,3,0.67,1.33,0.67,1.33,2.0,1.33,1.33
447,Callum Slattery,eng,MF,Southampton,19.0,3,1,2,110,37,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,3.27,3.27
450,Steven Davis,us,MF,Southampton,33.0,3,1,2,96,32,0,1,0,0,2,0,0,0,0.0,0.94,0.0,0.94,0.0,1.87,1.87
454,Fraser Forster,eng,GK,Southampton,30.0,1,1,0,90,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456,Kayne Ramsey,pt,MF,Southampton,17.0,1,1,0,90,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
481,Sam Gallagher,ng,FW,Southampton,22.0,4,0,4,30,8,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
502,Tyreke Johnson,pt,DF,Southampton,19.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
