,Name,Nationality,Position,Team,Age,Apps,Starts,Subs,Minutes,Min / app,Goals,Assists,PK,PKAtt,Fouls,Yellows,Reds,SOT,Goals PG,Goals+Asst PG,Goals no PK PG,Goals+Asst no PK PG,SOT PG,Fouls PG,Cards PG
57,Hugo Lloris,fr,GK,Tottenham Hotspur,31.0,33,33,0,"2,970",90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Toby Alderweireld,be,DF,Tottenham Hotspur,29.0,34,33,1,"2,923",86,0,0,0,0,10,3,0,5,0.0,0.0,0.0,0.0,0.15,0.31,0.31
78,Christian Eriksen,dk,"DF,MF",Tottenham Hotspur,26.0,35,30,5,"2,772",79,8,12,0,0,17,3,0,31,0.26,0.65,0.26,0.65,1.01,0.55,0.55
118,Harry Kane,eng,FW,Tottenham Hotspur,25.0,28,27,1,"2,427",87,17,4,4,4,31,5,0,46,0.63,0.78,0.48,0.63,1.71,1.15,1.15
129,Moussa Sissoko,fr,MF,Tottenham Hotspur,28.0,29,27,2,"2,336",81,0,3,0,0,25,2,0,3,0.0,0.12,0.0,0.12,0.12,0.96,0.96
134,Kieran Trippier,eng,DF,Tottenham Hotspur,27.0,27,26,1,"2,278",84,1,3,0,0,20,2,0,3,0.04,0.16,0.04,0.16,0.12,0.79,0.79
154,Lucas Moura,br,"FW,MF",Tottenham Hotspur,25.0,32,25,7,"2,128",67,10,0,0,0,25,3,0,20,0.42,0.42,0.42,0.42,0.85,1.06,1.06
169,Son Heung-min,us,"MF,FW",Tottenham Hotspur,26.0,31,23,8,"2,047",66,12,6,0,0,11,2,1,29,0.53,0.79,0.53,0.79,1.28,0.48,0.48
186,Davinson Sánchez,ie,DF,Tottenham Hotspur,22.0,23,22,1,"1,943",85,1,1,0,0,20,2,0,3,0.05,0.09,0.05,0.09,0.14,0.93,0.93
190,Jan Vertonghen,jm,DF,Tottenham Hotspur,31.0,22,22,0,"1,913",87,1,0,0,0,11,4,0,2,0.05,0.05,0.05,0.05,0.09,0.52,0.52
199,Ben Davies,ch,DF,Tottenham Hotspur,25.0,27,20,7,"1,839",68,0,0,0,0,18,2,0,1,0.0,0.0,0.0,0.0,0.05,0.88,0.88
201,Dele Alli,fr,MF,Tottenham Hotspur,22.0,25,22,3,"1,832",73,5,3,0,0,23,4,0,19,0.25,0.39,0.25,0.39,0.93,1.13,1.13
204,Danny Rose,cm,"MF,DF",Tottenham Hotspur,28.0,26,20,6,"1,798",69,0,3,0,0,26,5,0,2,0.0,0.15,0.0,0.15,0.1,1.3,1.3
233,Harry Winks,eng,MF,Tottenham Hotspur,22.0,26,17,9,"1,592",61,1,0,0,0,17,4,0,2,0.06,0.06,0.06,0.06,0.11,0.96,0.96
244,Eric Dier,cm,"DF,MF",Tottenham Hotspur,24.0,20,18,2,"1,509",76,3,0,0,0,24,4,0,3,0.18,0.18,0.18,0.18,0.18,1.43,1.43
314,Érik Lamela,be,"MF,FW",Tottenham Hotspur,26.0,19,9,10,972,51,4,2,0,0,23,2,0,11,0.37,0.56,0.37,0.56,1.02,2.13,2.13
325,Juan Foyth,co,DF,Tottenham Hotspur,20.0,12,10,2,888,74,1,0,0,0,16,3,1,1,0.1,0.1,0.1,0.1,0.1,1.62,1.62
357,Fernando Llorente,eng,FW,Tottenham Hotspur,33.0,20,6,14,683,34,1,4,0,0,12,2,0,5,0.13,0.66,0.13,0.66,0.66,1.58,1.58
375,Serge Aurier,cz,DF,Tottenham Hotspur,25.0,8,6,2,563,70,0,2,0,0,17,1,0,1,0.0,0.32,0.0,0.32,0.16,2.72,2.72
381,Mousa Dembélé,jp,MF,Tottenham Hotspur,31.0,10,7,3,516,52,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0.0,0.0,2.09,2.09
383,Victor Wanyama,ie,MF,Tottenham Hotspur,27.0,13,4,9,512,39,1,0,0,0,10,2,0,2,0.18,0.18,0.18,0.18,0.35,1.76,1.76
405,Kyle Walker-Peters,eng,DF,Tottenham Hotspur,21.0,6,4,2,374,62,0,3,0,0,4,1,0,0,0.0,0.72,0.0,0.72,0.0,0.96,0.96
419,Paulo Gazzaniga,ar,GK,Tottenham Hotspur,26.0,3,3,0,270,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,Oliver Skipp,eng,MF,Tottenham Hotspur,17.0,8,2,6,216,27,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,1.67,1.67
431,Michel Vorm,nl,GK,Tottenham Hotspur,34.0,2,2,0,180,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
479,Vincent Janssen,eng,FW,Tottenham Hotspur,24.0,3,0,3,36,12,0,0,0,0,2,0,0,1,0.0,0.0,0.0,0.0,2.5,5.0,5.0
499,Georges-Kévin N'Koudou,sn,MF,Tottenham Hotspur,23.0,1,0,1,4,4,0,1,0,0,0,0,0,0,0.0,22.5,0.0,22.5,0.0,0.0,0.0
500,Luke Amos,eng,MF,Tottenham Hotspur,21.0,1,0,1,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
