,Name,Nationality,Position,Team,Age,Apps,Starts,Subs,Minutes,Min / app,Goals,Assists,PK,PKAtt,Fouls,Yellows,Reds,SOT,Goals PG,Goals+Asst PG,Goals no PK PG,Goals+Asst no PK PG,SOT PG,Fouls PG,Cards PG
11,Ben Foster,eng,GK,Watford,35.0,38,38,0,"3,420",90,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.05,0.05
38,Craig Cathcart,nir,DF,Watford,29.0,36,35,1,"3,098",86,3,0,0,0,18,2,0,5,0.09,0.09,0.09,0.09,0.15,0.52,0.52
44,Abdoulaye Doucouré,fr,MF,Watford,25.0,35,34,1,"3,062",88,5,6,0,0,37,7,0,17,0.15,0.32,0.15,0.32,0.5,1.09,1.09
61,Étienne Capoue,fr,MF,Watford,30.0,33,33,0,"2,946",89,1,3,0,0,47,14,1,4,0.03,0.12,0.03,0.12,0.12,1.44,1.44
71,Roberto Pereyra,ar,MF,Watford,27.0,33,33,0,"2,824",86,6,1,0,0,27,3,0,21,0.19,0.22,0.19,0.22,0.67,0.86,0.86
104,Troy Deeney,eng,FW,Watford,30.0,32,28,4,"2,547",80,9,5,1,1,42,4,1,29,0.32,0.49,0.28,0.46,1.02,1.48,1.48
117,Will Hughes,eng,MF,Watford,23.0,32,31,1,"2,436",76,2,4,0,0,54,5,0,7,0.07,0.22,0.07,0.22,0.26,2.0,2.0
121,José Holebas,gr,"DF,MF",Watford,34.0,28,27,1,"2,393",86,3,6,0,0,34,12,1,6,0.11,0.34,0.11,0.34,0.23,1.28,1.28
163,Gerard Deulofeu,es,"FW,MF",Watford,24.0,30,26,4,"2,081",69,10,5,0,0,14,3,0,23,0.43,0.65,0.43,0.65,0.99,0.61,0.61
170,Kiko Femenía,kr,"FW,MF",Watford,27.0,29,22,7,"2,046",71,1,1,0,0,12,1,0,2,0.04,0.09,0.04,0.09,0.09,0.53,0.53
189,Adrian Mariappa,jm,DF,Watford,31.0,26,20,6,"1,921",74,0,0,0,0,19,3,0,1,0.0,0.0,0.0,0.0,0.05,0.89,0.89
235,Christian Kabasele,eng,DF,Watford,27.0,21,19,2,"1,586",76,0,0,0,0,23,4,0,2,0.0,0.0,0.0,0.0,0.11,1.31,1.31
241,Daryl Janmaat,cm,DF,Watford,29.0,18,17,1,"1,522",85,0,2,0,0,16,3,0,1,0.0,0.12,0.0,0.12,0.06,0.95,0.95
256,Andre Gray,gn,FW,Watford,27.0,29,13,16,"1,360",47,7,2,0,0,12,2,0,17,0.46,0.6,0.46,0.6,1.13,0.79,0.79
298,Isaac Success,br,FW,Watford,22.0,30,9,21,"1,037",35,1,1,0,0,24,4,0,10,0.09,0.17,0.09,0.17,0.87,2.08,2.08
304,Adam Masina,eng,DF,Watford,24.0,14,11,3,"1,003",72,0,1,0,0,17,5,0,0,0.0,0.09,0.0,0.09,0.0,1.53,1.53
345,Ken Sema,be,MF,Watford,24.0,17,9,8,754,44,1,2,0,0,13,1,0,4,0.12,0.36,0.12,0.36,0.48,1.55,1.55
385,Tom Cleverley,eng,MF,Watford,28.0,13,4,9,470,36,1,0,0,0,8,2,0,2,0.19,0.19,0.19,0.19,0.38,1.53,1.53
413,Domingos Quina,nl,MF,Watford,18.0,8,3,5,335,42,1,0,0,0,7,0,0,1,0.27,0.27,0.27,0.27,0.27,1.88,1.88
421,Nathaniel Chalobah,eng,"DF,MF",Watford,23.0,9,3,6,266,30,0,0,0,0,5,2,0,1,0.0,0.0,0.0,0.0,0.34,1.69,1.69
430,Miguel Britos,uy,DF,Watford,33.0,3,2,1,185,62,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,1.46,1.46
460,Marc Navarro,eg,DF,Watford,23.0,2,1,1,84,42,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.07,1.07
486,Stefano Okaka,fr,FW,Watford,28.0,2,0,2,22,11,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,4.09,4.09
494,Sebastian Prödl,eng,"DF,MF",Watford,31.0,1,0,1,13,13,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,6.92,6.92
