,Name,Nationality,Position,Team,Age,Apps,Starts,Subs,Minutes,Min / app,Goals,Assists,PK,PKAtt,Fouls,Yellows,Reds,SOT,Goals PG,Goals+Asst PG,Goals no PK PG,Goals+Asst no PK PG,SOT PG,Fouls PG,Cards PG
10,Łukasz Fabiański,pl,GK,West Ham United,33.0,38,38,0,"3,420",90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Felipe Anderson,br,"FW,MF",West Ham United,25.0,36,36,0,"3,053",85,9,4,0,0,27,3,0,25,0.27,0.38,0.27,0.38,0.74,0.8,0.8
55,Declan Rice,ie,DF,West Ham United,19.0,34,34,0,"3,004",88,2,0,0,0,17,4,0,5,0.06,0.06,0.06,0.06,0.15,0.51,0.51
58,Issa Diop,fr,DF,West Ham United,21.0,33,33,0,"2,970",90,1,0,0,0,19,4,0,5,0.03,0.03,0.03,0.03,0.15,0.58,0.58
131,Mark Noble,eng,MF,West Ham United,31.0,31,29,2,"2,307",74,5,5,4,4,24,6,1,8,0.2,0.39,0.04,0.23,0.31,0.94,0.94
139,Robert Snodgrass,sco,"FW,MF",West Ham United,30.0,33,25,8,"2,222",67,2,5,0,0,36,10,0,7,0.08,0.28,0.08,0.28,0.28,1.46,1.46
159,Michail Antonio,eng,"FW,MF",West Ham United,28.0,33,22,11,"2,099",64,6,4,0,0,35,3,0,26,0.26,0.43,0.26,0.43,1.11,1.5,1.5
160,Pablo Zabaleta,ar,DF,West Ham United,33.0,26,23,3,"2,091",80,0,1,0,0,18,4,0,1,0.0,0.04,0.0,0.04,0.04,0.77,0.77
172,Fabián Balbuena,dk,DF,West Ham United,26.0,23,23,0,"2,014",88,1,0,0,0,19,2,0,2,0.04,0.04,0.04,0.04,0.09,0.85,0.85
176,Marko Arnautović,ch,"MF,FW",West Ham United,29.0,28,24,4,"2,001",72,10,4,1,1,31,3,0,32,0.45,0.63,0.4,0.58,1.44,1.39,1.39
194,Angelo Ogbonna,de,DF,West Ham United,30.0,24,20,4,"1,870",78,1,1,0,0,15,2,0,5,0.05,0.1,0.05,0.1,0.24,0.72,0.72
211,Arthur Masuaku,eng,DF,West Ham United,24.0,23,19,4,"1,755",76,0,1,0,0,16,2,0,1,0.0,0.05,0.0,0.05,0.05,0.82,0.82
234,Aaron Cresswell,eng,DF,West Ham United,28.0,20,18,2,"1,590",80,0,1,0,0,2,1,0,1,0.0,0.06,0.0,0.06,0.06,0.11,0.11
260,Javier Hernández,dz,FW,West Ham United,30.0,25,14,11,"1,337",54,7,1,0,0,9,2,0,18,0.47,0.54,0.47,0.54,1.21,0.61,0.61
284,Pedro Obiang,eng,MF,West Ham United,26.0,24,12,12,"1,120",47,0,1,0,0,15,0,0,1,0.0,0.08,0.0,0.08,0.08,1.21,1.21
289,Ryan Fredericks,ar,DF,West Ham United,25.0,15,12,3,"1,086",72,1,0,0,0,9,5,0,2,0.08,0.08,0.08,0.08,0.17,0.75,0.75
355,Manuel Lanzini,fr,MF,West Ham United,25.0,10,8,2,689,69,1,1,0,0,5,2,0,4,0.13,0.26,0.13,0.26,0.52,0.65,0.65
368,Grady Diangana,es,MF,West Ham United,20.0,17,6,11,604,36,0,1,0,0,4,0,0,3,0.0,0.15,0.0,0.15,0.45,0.6,0.6
389,Lucas Pérez,ec,"MF,FW",West Ham United,29.0,15,4,11,466,31,3,0,0,0,5,0,0,3,0.58,0.58,0.58,0.58,0.58,0.97,0.97
391,Andriy Yarmolenko,eng,"MF,FW",West Ham United,28.0,9,5,4,460,51,2,0,0,0,8,2,0,4,0.39,0.39,0.39,0.39,0.78,1.57,1.57
392,Andy Carroll,ua,FW,West Ham United,29.0,12,3,9,455,38,0,0,0,0,11,2,0,6,0.0,0.0,0.0,0.0,1.19,2.18,2.18
401,Jack Wilshere,eng,MF,West Ham United,26.0,8,4,4,389,49,0,1,0,0,7,2,0,1,0.0,0.23,0.0,0.23,0.23,1.62,1.62
422,Samir Nasri,fr,"MF,FW",West Ham United,31.0,5,3,2,245,49,0,2,0,0,3,0,0,0,0.0,0.73,0.0,0.73,0.0,1.1,1.1
423,Carlos Sánchez,co,MF,West Ham United,32.0,7,2,5,240,34,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,1.13,1.13
466,Ben Johnson,eng,FW,West Ham United,18.0,1,1,0,63,63,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
492,Xande Silva,at,FW,West Ham United,21.0,1,0,1,17,17,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
