Team,Name,Height,Played,Goals,Assists,Pass Accuracy,Aerials won,MOTMs,Rating
Liverpool,"Mohamed Salah
26, AM(CLR),FW",175,37,22,8,75.9,0.3,8,7.57
Liverpool,"Virgil van Dijk
27, D(C)",193,38,4,2,89.7,4.8,4,7.44
Liverpool,"Sadio Mané
27, AM(CLR),FW",175,35,22,1,78.2,1,6,7.43
Liverpool,"Trent Alexander-Arnold
20, D(R),M(R)",175,27,1,12,77.5,0.3,1,7.36
Liverpool,"Roberto Firmino
27, M(CLR),FW",181,31,12,6,80.8,0.9,4,7.20
Liverpool,"Andrew Robertson
25, D(L),M(L)",178,36,-,11,83.2,0.7,1,7.12
Liverpool,"Joel Matip
27, D(C)",195,17,1,-,86.9,3,2,7.11
Liverpool,"Dejan Lovren
29, D(C)",188,11,1,-,86.6,4.1,1,7.08
Liverpool,"Fabinho
25, D(R),DMC",188,21,1,2,85.3,2,-,6.95
Liverpool,"James Milner
33, D(LR),M(CLR)",175,19,5,4,84.6,0.6,1,6.91
Liverpool,"Georginio Wijnaldum
28, M(CL)",175,32,3,-,91.1,0.9,1,6.89
Liverpool,"Alisson
26, GK",191,38,-,-,80.3,0.3,-,6.79
Liverpool,"Joe Gomez
21, D(CLR)",188,12,-,-,87.5,1.5,-,6.76
Liverpool,"Naby Keita
24, M(C)",172,16,2,1,88.5,0.4,-,6.74
Liverpool,"Xherdan Shaqiri
27, M(CLR)",169,11,6,3,81.2,0.1,1,6.71
Liverpool,"Jordan Henderson
28, M(CLR)",182,21,1,3,87.2,0.8,-,6.67
Liverpool,"Alberto Moreno
26, D(L),M(L)",171,2,-,-,87.6,-,-,6.65
Liverpool,"Divock Origi
24, AM(LR),FW",185,4,3,1,70.4,0.3,-,6.57
Liverpool,"Adam Lallana
31, AM(CLR)",172,5,-,-,82.1,0.7,-,6.53
Liverpool,"Daniel Sturridge
29, M(R),FW",188,4,2,1,80,0.2,-,6.41
Liverpool,"Alex Oxlade Chamberlain
25, M(CLR)",180,0,-,-,76.9,-,-,6.35
Liverpool,"Nathaniel Clyne
28, D(LR),M(R)",175,1,-,-,83.1,0.3,-,6.29
Liverpool,"Rafael Camacho
18, Midfielder",0,0,-,-,-,-,-,6.00
Tottenham,"Harry Kane
25, AM(C),FW",188,27,17,4,73.1,1.8,6,7.38
Tottenham,"Paulo Gazzaniga
27, GK",196,3,-,-,64.2,-,-,7.14
Tottenham,"Kieran Trippier
28, D(R),M(R)",178,26,1,3,78.9,1.1,1,7.10
Tottenham,"Son Heung-Min
26, M(CLR),FW",183,23,12,6,85.6,0.1,4,7.10
Tottenham,"Christian Eriksen
27, M(CLR)",182,30,8,12,81,0.4,2,7.08
Tottenham,"Hugo Lloris
32, GK",188,33,-,-,73.6,0.3,2,6.96
Tottenham,"Lucas Moura
26, AM(CLR),FW",172,25,10,-,76.1,1.1,3,6.96
Tottenham,"Kyle Walker-Peters
22, D(R)",173,4,-,3,83,0.5,-,6.95
Tottenham,"Dele Alli
23, M(CL)",188,22,5,3,80.3,0.8,1,6.95
Tottenham,"Juan Foyth
21, D(C)",179,10,1,-,85.2,2.1,1,6.93
Tottenham,"Jan Vertonghen
32, D(CL)",189,22,1,-,87.5,2.3,1,6.89
Tottenham,"Serge Aurier
26, D(CLR),M(R)",176,6,-,2,75.5,1.5,-,6.85
Tottenham,"Michel Vorm
35, GK",183,2,-,-,77.3,0.5,1,6.85
Tottenham,"Danny Rose
28, D(L),M(L)",173,20,-,3,73.7,1,1,6.84
Tottenham,"Toby Alderweireld
30, D(CR)",187,33,-,-,88.5,1.6,-,6.84
Tottenham,"Georges-Kévin Nkoudou
24, AM(LR)",174,0,-,1,66.7,-,-,6.83
Tottenham,"Davinson Sánchez
22, D(C)",187,22,1,1,89.9,2.9,-,6.83
Tottenham,"Erik Lamela
27, AM(CLR)",181,9,4,2,83.2,0.2,1,6.77
Tottenham,"Moussa Sissoko
29, M(CR)",187,27,-,3,86.7,0.8,-,6.75
Tottenham,"Eric Dier
25, D(CR),DMC",188,18,3,-,84.9,1.8,-,6.74
Tottenham,"Ben Davies
26, D(CL),M(L)",181,20,-,-,82.8,1.7,1,6.69
Tottenham,"Harry Winks
23, DMC",178,17,1,-,91.8,0.5,1,6.55
Tottenham,"Victor Wanyama
27, DMC",188,4,1,-,81,1.1,-,6.53
Tottenham,"Fernando Llorente
34, FW",193,6,1,4,66.4,2.7,-,6.49
Tottenham,"Oliver Skipp
18, Midfielder",0,2,-,-,83.9,1.3,-,6.38
Tottenham,"Mousa Dembélé
31, M(CR)",185,7,-,-,89.6,0.6,-,6.38
Tottenham,"Vincent Janssen
24, FW",180,0,-,-,77.8,1,-,6.30
Tottenham,"Luke Amos
22, Midfielder",179,0,-,-,33.3,1,-,6.13
