Name,Team,xG,xA,xG90,xA90
Pierre-Emerick Aubameyang,Arsenal,23.55+1.55,4.99-0.01,0.77,0.16
Sadio Mané,Liverpool,16.76-5.24,5.12+4.12,0.49,0.15
Mohamed Salah,Liverpool,21.79-0.21,10.47+2.47,0.60,0.29
Sergio Agüero,Manchester City,19.95-1.05,5.23-2.77,0.71,0.19
Jamie Vardy,Leicester,19.12+1.12,5.14+1.14,0.63,0.17
Raheem Sterling,Manchester City,15.91-1.09,10.79+0.79,0.51,0.35
Harry Kane,Tottenham,16.12-0.88,4.56+0.56,0.60,0.17
Eden Hazard,Chelsea,12.30-3.70,11.57-3.43,0.38,0.35
Callum Wilson,Bournemouth,16.02+2.02,5.96-3.04,0.57,0.21
Gylfi Sigurdsson,Everton,12.12-0.88,6.79+0.79,0.35,0.19
Glenn Murray,Brighton,11.54-1.46,1.12+0.12,0.41,0.04
Paul Pogba,Manchester United,15.88+2.88,5.19-3.81,0.47,0.15
Alexandre Lacazette,Arsenal,12.03-0.97,4.10-3.90,0.43,0.15
Raúl Jiménez,Wolverhampton Wanderers,14.27+1.27,6.99-0.01,0.41,0.20
Richarlison,Everton,11.33-1.67,1.96+0.96,0.38,0.07
Son Heung-Min,Tottenham,8.36-3.64,3.97-2.03,0.37,0.17
Joshua King,Bournemouth,13.55+1.55,4.26+1.26,0.41,0.13
Roberto Firmino,Liverpool,13.74+1.74,6.34+0.34,0.47,0.22
Romelu Lukaku,Manchester United,13.11+1.11,2.32+2.32,0.56,0.10
Ayoze Pérez,Newcastle United,8.29-3.71,4.03+2.03,0.25,0.12
Ashley Barnes,Burnley,13.26+1.26,3.64+1.64,0.50,0.14
Luka Milivojevic,Crystal Palace,10.49-1.51,3.39+1.39,0.28,0.09
Aleksandar Mitrovic,Fulham,15.45+4.45,2.97-0.03,0.42,0.08
Salomón Rondón,Newcastle United,10.64-0.36,3.41-3.59,0.37,0.12
Leroy Sané,Manchester City,6.98-3.02,8.10-1.90,0.34,0.39
Wilfried Zaha,Crystal Palace,6.49-3.51,5.40+0.40,0.19,0.16
Anthony Martial,Manchester United,7.95-2.05,3.25+1.25,0.44,0.18
Marcus Rashford,Manchester United,11.61+1.61,5.27-0.73,0.44,0.20
Gerard Deulofeu,Watford,8.33-1.67,4.96-0.04,0.36,0.21
Marko Arnautovic,West Ham,8.94-1.06,4.00,0.40,0.18
Lucas Moura,Tottenham,7.59-2.41,1.66+1.66,0.32,0.07
Chris Wood,Burnley,9.13-0.87,3.65+1.65,0.32,0.13
Troy Deeney,Watford,10.23+1.23,4.69-0.31,0.36,0.17
Felipe Anderson,West Ham,5.53-3.47,6.78+2.78,0.16,0.20
Diogo Jota,Wolverhampton Wanderers,8.91-0.09,5.54+0.54,0.33,0.21
Christian Eriksen,Tottenham,5.66-2.34,7.88-4.12,0.18,0.26
Pedro,Chelsea,5.98-2.02,3.88+1.88,0.30,0.20
Chicharito,West Ham,7.89+0.89,1.26+0.26,0.53,0.08
Riyad Mahrez,Manchester City,6.62-0.38,5.01+1.01,0.45,0.34
James Ward-Prowse,Southampton,3.40-3.60,3.28+3.28,0.16,0.15
Danny Ings,Southampton,9.92+2.92,3.35+0.35,0.53,0.18
Andre Gray,Watford,5.85-1.15,2.10+0.10,0.39,0.14
Ryan Fraser,Bournemouth,4.76-2.24,16.18+2.18,0.13,0.46
Bernardo Silva,Manchester City,8.20+1.20,8.63+1.63,0.26,0.27
Gabriel Jesus,Manchester City,12.62+5.62,2.65-0.35,1.14,0.24
James Maddison,Leicester,7.37+0.37,7.94+0.94,0.23,0.25
David Brooks,Bournemouth,6.47-0.53,5.88+0.88,0.25,0.23
André Schürrle,Fulham,3.32-2.68,1.93+1.93,0.18,0.10
Ilkay Gündogan,Manchester City,4.21-1.79,4.97+1.97,0.18,0.21
Henrikh Mkhitaryan,Arsenal,5.34-0.66,6.49+2.49,0.29,0.35
Michail Antonio,West Ham,6.07+0.07,4.03+0.03,0.26,0.17
David Silva,Manchester City,8.13+2.13,10.11+2.11,0.30,0.38
Ruben Loftus-Cheek,Chelsea,3.24-2.76,1.01-0.99,0.30,0.09
Andros Townsend,Crystal Palace,4.88-1.12,3.70-0.30,0.14,0.11
Nathan Redmond,Southampton,7.91+1.91,5.31+1.31,0.22,0.15
Xherdan Shaqiri,Liverpool,4.06-1.94,1.89-1.11,0.35,0.16
Roberto Pereyra,Watford,5.38-0.62,3.54+2.54,0.17,0.11
Dominic Calvert-Lewin,Everton,6.17+0.17,1.64-0.36,0.32,0.08
James Milner,Liverpool,3.36-1.64,5.64+1.64,0.17,0.29
Mesut Özil,Arsenal,2.23-2.77,4.29+2.29,0.11,0.22
Theo Walcott,Everton,6.51+1.51,2.88+0.88,0.28,0.12
Mark Noble,West Ham,3.59-1.41,1.72-3.28,0.14,0.07
Dele Alli,Tottenham,5.95+0.95,3.29+0.29,0.29,0.16
Shane Long,Southampton,5.44+0.44,1.60+0.60,0.39,0.11
Gonzalo Higuaín,Chelsea,5.38+0.38,1.43+1.43,0.44,0.12
Michy Batshuayi,Crystal Palace,3.70-1.30,0.10+0.10,0.43,0.01
Abdoulaye Doucouré,Watford,6.85+1.85,5.39-0.61,0.20,0.16
Álvaro Morata,Chelsea,6.41+1.41,0.21+0.21,0.61,0.02
Víctor Camarasa,Cardiff,3.91-1.09,3.63-0.37,0.13,0.13
Ryan Babel,Fulham,5.75+0.75,2.55-0.45,0.41,0.18
Shane Duffy,Brighton,3.38-1.62,0.27-0.73,0.10,0.01
Bobby Reid,Cardiff,3.80-1.20,1.06-0.94,0.24,0.07
Fabian Schär,Newcastle United,2.17-1.83,0.74-0.26,0.10,0.03
Granit Xhaka,Arsenal,1.88-2.12,3.52+1.52,0.07,0.13
Pierre-Emile Højbjerg,Southampton,2.26-1.74,2.35-0.65,0.07,0.08
Aaron Ramsey,Arsenal,3.71-0.29,2.30-3.70,0.25,0.16
Jesse Lingard,Manchester United,4.84+0.84,3.16+1.16,0.26,0.17
Nathan Aké,Bournemouth,4.55+0.55,1.32+1.32,0.12,0.03
Erik Lamela,Tottenham,3.76-0.24,2.17+0.17,0.35,0.20
N'Golo Kanté,Chelsea,3.03-0.97,3.73-0.27,0.09,0.11
Jeffrey Schlupp,Crystal Palace,3.30-0.70,1.41+0.41,0.18,0.08
Demarai Gray,Leicester,4.56+0.56,0.98-0.02,0.20,0.04
Virgil van Dijk,Liverpool,3.51-0.49,1.27-0.73,0.09,0.03
Lucas Digne,Everton,1.20-2.80,7.71+3.71,0.04,0.23
Sol Bamba,Cardiff,4.12+0.12,0.14-0.86,0.15,0.01
Nathaniel Mendez-Laing,Cardiff,2.16-1.84,1.30+0.30,0.20,0.12
Callum Paterson,Cardiff,4.95+0.95,2.87+1.87,0.22,0.13
Willy Boly,Wolverhampton Wanderers,3.63-0.37,1.57+1.57,0.10,0.04
Matt Doherty,Wolverhampton Wanderers,5.28+1.28,5.04+0.04,0.15,0.14
Rúben Neves,Wolverhampton Wanderers,3.39-0.61,1.88-1.12,0.10,0.06
Karlan Grant,Huddersfield,3.28-0.72,0.27+0.27,0.34,0.03
Pascal Groß,Brighton,4.14+1.14,5.61+2.61,0.20,0.27
Divock Origi,Liverpool,2.24-0.76,0.19-0.81,0.57,0.05
Laurent Koscielny,Arsenal,2.11-0.89,0.12+0.12,0.14,0.01
Alex Iwobi,Arsenal,3.72+0.72,7.64+1.64,0.17,0.35
Juan Mata,Manchester United,1.58-1.42,3.70+1.70,0.11,0.26
José Holebas,Watford,0.94-2.06,4.58-1.42,0.04,0.17
Craig Cathcart,Watford,1.85-1.15,0.11+0.11,0.05,0.00
Ross Barkley,Chelsea,3.65+0.65,2.52-2.48,0.27,0.18
James McArthur,Crystal Palace,4.51+1.51,3.72-2.28,0.13,0.11
Eric Dier,Tottenham,1.42-1.58,1.10+1.10,0.08,0.07
Willian,Chelsea,4.35+1.35,6.52+0.52,0.18,0.28
Patrick van Aanholt,Crystal Palace,2.81-0.19,4.72+2.72,0.08,0.13
Wes Morgan,Leicester,1.54-1.46,0.14+0.14,0.07,0.01
Georginio Wijnaldum,Liverpool,3.18+0.18,1.94+1.94,0.10,0.06
Ciaran Clark,Newcastle United,0.47-2.53,0.05+0.05,0.05,0.01
Sam Vokes,Burnley,2.73-0.27,0.90+0.90,0.27,0.09
Johann Berg Gudmundsson,Burnley,2.61-0.39,3.59-2.41,0.14,0.19
James Tarkowski,Burnley,3.64+0.64,0.20-0.80,0.11,0.01
David Luiz,Chelsea,2.90-0.10,2.86+0.86,0.08,0.08
Harry Maguire,Leicester,1.86-1.14,0.67+0.67,0.06,0.02
Lucas Pérez,West Ham,1.39-1.61,0.88+0.88,0.27,0.17
Jeff Hendrick,Burnley,1.79-1.21,1.07+1.07,0.08,0.05
Aymeric Laporte,Manchester City,3.75+0.75,0.84-2.16,0.11,0.02
