,Team Name,Wins,Draws,Losses,GF,GA,GD,Points,Players Used,Played,Goals Scored,Assists,PK Scored,PK Won,Fouls,Yellow Cards,Red Cards,Shots on Target,Goals PG,G+A PG,Goals PG no Pen,G+A PG no Pen,Shots PG,Fouls PG
0,Manchester City,32,2,4,95,23,72,98,21,38,91,71,3,4,333,44,1,262,2.39,4.26,2.32,4.18,6.89,8.76
1,Liverpool,30,7,1,89,22,67,97,23,38,86,55,7,7,321,39,0,229,2.26,3.71,2.08,3.53,6.03,8.45
2,Chelsea,21,9,8,63,39,24,72,24,38,61,52,5,5,341,49,0,198,1.61,2.97,1.47,2.84,5.21,8.97
3,Tottenham Hotspur,23,2,13,67,39,28,71,28,38,66,47,4,4,378,57,2,190,1.74,2.97,1.63,2.87,5.0,9.95
4,Arsenal,21,7,10,73,51,22,70,28,38,69,52,4,5,414,73,1,172,1.82,3.18,1.71,3.08,4.53,10.89
5,Manchester United,19,9,10,65,54,11,66,28,38,65,40,9,12,436,75,2,226,1.71,2.76,1.47,2.53,5.95,11.47
6,Wolverhampton Wanderers,16,9,13,47,46,1,57,21,38,46,35,4,4,412,73,1,151,1.21,2.13,1.11,2.03,3.97,10.84
7,Everton,15,9,14,54,46,8,54,23,38,53,34,2,5,436,56,3,171,1.39,2.29,1.34,2.24,4.5,11.47
8,Leicester City,15,7,16,51,48,3,52,25,38,48,34,5,7,359,60,2,186,1.26,2.16,1.13,2.03,4.89,9.45
9,West Ham United,15,7,16,52,55,-3,52,26,38,51,33,5,5,338,59,1,160,1.34,2.21,1.21,2.08,4.21,8.89
10,Watford,14,8,16,52,59,-7,50,25,38,51,39,1,1,437,79,3,153,1.34,2.37,1.32,2.34,4.03,11.5
11,Crystal Palace,14,7,17,51,53,-2,49,26,38,48,33,10,11,390,58,1,148,1.26,2.13,1.0,1.87,3.89,10.26
12,Newcastle United,12,9,17,42,48,-6,45,24,38,41,33,1,3,425,57,2,143,1.08,1.95,1.05,1.92,3.76,11.18
13,Bournemouth,13,6,19,56,70,-14,45,28,38,55,43,7,9,342,60,1,162,1.45,2.58,1.26,2.39,4.26,9.0
14,Burnley,11,7,20,45,68,-23,40,23,38,43,32,2,2,365,75,1,116,1.13,1.97,1.08,1.92,3.05,9.61
15,Southampton,9,12,17,45,65,-20,39,30,38,44,27,4,5,428,73,1,163,1.16,1.87,1.05,1.76,4.29,11.26
16,Brighton & Hove Albion,9,9,20,35,60,-25,36,21,38,35,24,5,6,468,61,3,109,0.92,1.55,0.79,1.42,2.87,12.32
17,Cardiff City,10,4,24,34,69,-35,34,25,38,33,20,3,4,380,66,1,127,0.87,1.39,0.79,1.32,3.34,10.0
18,Fulham,7,5,26,34,81,-47,26,28,38,33,24,2,3,428,70,0,147,0.87,1.5,0.82,1.45,3.87,11.26
19,Huddersfield Town,3,7,28,22,76,-54,16,31,38,20,13,1,1,427,56,3,120,0.53,0.87,0.5,0.84,3.16,11.24
